Name				VRPTWP18
Number_of_Customers		44
Number_of_Items			94
Number_of_ItemTypes		94
Number_of_Vehicles		11
TimeWindows			1

VEHICLE
Mass_Capacity			2010
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		1133
Max_Mass_RearAxle		1835
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		230		0		0		0
1		41		49		2		161		171		10		33		5736
2		35		17		1		50		60		10		15		3696
3		55		45		1		116		126		10		10		1470
4		55		20		2		149		159		10		40		4679
5		15		30		3		34		44		10		15		9251
6		25		30		1		99		109		10		5		1638
7		20		50		3		81		91		10		77		4497
8		10		43		3		95		105		10		435		8020
9		55		60		2		97		107		10		165		2192
10		30		60		2		124		134		10		120		7248
11		20		65		3		67		77		10		65		8960
12		50		35		3		63		73		10		23		10206
13		30		25		1		159		169		10		18		6496
14		15		10		3		32		42		10		550		14048
15		30		5		3		61		71		10		78		8355
16		10		20		1		75		85		10		627		3060
17		5		30		3		157		167		10		9		7378
18		20		40		2		87		97		10		96		10840
19		15		60		3		76		86		10		116		6873
20		45		65		2		126		136		10		116		8604
21		45		20		2		62		72		10		83		6324
22		45		10		1		97		107		10		41		5684
23		55		5		2		68		78		10		645		7158
24		65		35		1		153		163		10		694		4488
25		65		20		1		172		182		10		573		2160
26		45		30		2		132		142		10		1		3698
27		35		40		3		37		47		10		181		6494
28		41		37		2		39		49		10		106		5988
29		64		42		3		63		73		10		52		10104
30		40		60		1		71		81		10		117		3564
31		31		52		2		50		60		10		52		6753
32		35		69		1		141		151		10		1300		1080
33		53		52		3		37		47		10		57		9308
34		65		55		3		117		127		10		28		4789
35		63		65		3		143		153		10		84		7552
36		2		60		2		41		51		10		1		4326
37		20		20		1		134		144		10		54		2352
38		5		5		3		83		93		10		19		5027
39		60		12		3		44		54		10		88		4708
40		40		25		2		85		95		10		41		4256
41		42		7		3		97		107		10		238		12051
42		24		12		3		31		41		10		66		7275
43		23		3		2		132		142		10		44		7184
44		11		14		1		69		79		10		42		1064

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		33		14		8		16.50		0		2.4975708
Bt2		20		6		17		16.50		0		3.8977844
Bt3		28		11		12		15		1		0.7304261
Bt4		21		7		10		10		1		0.9042799
Bt5		22		14		13		20		0		2.0234529
Bt6		15		5		9		20		0		1.2580036
Bt7		28		13		14		5		0		3.7669395
Bt8		13		13		15		5		0		1.5863275
Bt9		18		6		15		5		1		0.6955309
Bt10		18		13		7		5		0		1.7911906
Bt11		14		9		18		25.67		0		3.2489253
Bt12		15		13		7		25.67		0		3.1405149
Bt13		16		6		9		25.67		0		2.4523014
Bt14		26		11		18		145		0		3.9337319
Bt15		18		12		7		145		0		2.7874900
Bt16		34		5		8		145		1		0.5328831
Bt17		14		8		14		82.50		0		2.2909960
Bt18		13		8		6		82.50		0		2.3351761
Bt19		16		9		17		60		0		3.0751234
Bt20		25		12		16		60		1		0.8162890
Bt21		33		9		16		21.67		0		3.6662156
Bt22		16		7		17		21.67		0		2.9361710
Bt23		32		9		8		21.67		1		0.6891253
Bt24		18		12		11		7.67		0		2.3792007
Bt25		24		14		15		7.67		1		0.8551522
Bt26		31		10		9		7.67		1		0.9675055
Bt27		29		14		16		18		0		1.5573788
Bt28		32		13		17		183.33		0		3.6587390
Bt29		23		12		16		183.33		0		2.4909537
Bt30		16		10		16		183.33		0		3.3508707
Bt31		29		9		16		26		0		3.3386362
Bt32		36		7		12		26		0		2.6382235
Bt33		15		11		7		26		0		2.7477788
Bt34		17		12		15		627		0		3.8782438
Bt35		23		10		13		3		0		1.1981037
Bt36		25		11		10		3		0		1.8631873
Bt37		18		7		13		3		0		2.0737824
Bt38		35		14		16		48		0		3.0518461
Bt39		25		15		8		48		0		2.3057939
Bt40		33		6		14		38.67		0		3.9434997
Bt41		31		6		13		38.67		0		1.7493969
Bt42		17		11		9		38.67		0		1.5926497
Bt43		21		12		17		58		0		1.6823922
Bt44		27		10		16		58		1		0.7733355
Bt45		34		12		8		41.50		0		2.6082065
Bt46		36		5		17		41.50		1		0.6676333
Bt47		29		14		14		41		0		2.6709353
Bt48		27		13		14		322.50		1		0.5554115
Bt49		17		11		12		322.50		1		0.5914647
Bt50		34		12		11		694		0		3.0108451
Bt51		20		12		9		573		0		1.1423611
Bt52		13		11		10		0.50		0		2.2162107
Bt53		27		14		6		0.50		1		0.5230919
Bt54		22		10		9		60.33		0		1.4901596
Bt55		16		8		13		60.33		0		2.3778160
Bt56		19		15		10		60.33		1		0.5482286
Bt57		17		11		12		53		0		1.7249945
Bt58		26		12		12		53		1		0.7013297
Bt59		25		12		13		17.33		0		2.7330194
