	Name			No_of_Customers		No_of_Items		TimeWindows
1	VRPTWP01		15			32			1
2	VRPTWP02		15			26			1
3	VRPTWP03		20			37			1
4	VRPTWP04		20			36			1
5	VRPTWP05		21			45			1
6	VRPTWP06		21			40			1
7	VRPTWP07		22			46			1
8	VRPTWP08		22			43			1
9	VRPTWP09		25			50			1
10	VRPTWP10		29			62			1
11	VRPTWP11		29			58			1
12	VRPTWP12		30			63			1
13	VRPTWP13		32			61			1
14	VRPTWP14		32			72			1
15	VRPTWP15		32			68			1
16	VRPTWP16		35			63			1
17	VRPTWP17		40			79			1
18	VRPTWP18		44			94			1
19	VRPTWP19		50			99			1
20	VRPTWP20		71			147			1
21	VRPTWP21		75			155			1
22	VRPTWP22		75			146			1
23	VRPTWP23		75			150			1
24	VRPTWP24		75			143			1
25	VRPTWP25		100			193			1
26	VRPTWP26		100			199			1
27	VRPTWP27		100			198			1
