Name					17_TruckTrailer_n30_m400_bt100_2
Number_of_Customers			30
Number_of_Items				400
Number_of_ItemTypes			100
Number_of_Vehicles			10
TimeWindows				0

VEHICLE
Mass_Capacity				25950
CargoSpace_Length			136
CargoSpace_Width			25
CargoSpace_Height			30
Wheelbase				36
Max_Mass_FrontAxle			10000
Max_Mass_RearAxle			11500
Max_Mass_TrailerAxle			24000
Distance_Kingpin_RearAxle		6
Distance_Kingpin_TrailerAxle		76
Distance_CargoSpace_TrailerAxle		92
Distance_Mass_Tractor_RearAxle		25
Distance_Mass_Trailer_TrailerAxle	16
Mass_Tractor				7300
Mass_Trailer				6750

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		0		0		0		0
1		32		70		15		0		0		0		2922.18		16469
2		49		49		8		0		0		0		668.555		4562
3		31		49		13		0		0		0		2738.99		16116
4		42		42		18		0		0		0		3464.22		18856
5		52		16		13		0		0		0		3195.08		17755
6		8		25		11		0		0		0		3412.95		16901
7		2		1		15		0		0		0		3491.3		20339
8		55		16		9		0		0		0		2606.7		14230
9		20		29		15		0		0		0		2978.69		16123
10		39		62		14		0		0		0		3305.34		17420
11		62		24		19		0		0		0		3341.82		20712
12		58		49		14		0		0		0		2547.09		16361
13		31		27		14		0		0		0		3973.42		20972
14		21		57		14		0		0		0		2502.13		16878
15		13		56		12		0		0		0		2670.68		15062
16		3		67		12		0		0		0		2379.73		13102
17		49		58		12		0		0		0		1734.08		9626
18		18		20		14		0		0		0		2508		14056
19		66		53		15		0		0		0		3356.4		19130
20		3		49		11		0		0		0		2032.8		12096
21		6		22		14		0		0		0		2736.87		15222
22		60		67		13		0		0		0		2026.84		11203
23		26		67		14		0		0		0		2069.99		12130
24		61		67		11		0		0		0		2039.47		11207
25		25		27		20		0		0		0		3703.03		20283
26		46		44		11		0		0		0		2225.3		12646
27		47		15		11		0		0		0		2349.37		13767
28		70		35		13		0		0		0		2153.36		12259
29		30		66		14		0		0		0		2884.39		18216
30		15		23		11		0		0		0		2708.3		14894

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		17		6		6		116.22		1		1.1393848
Bt2		25		10		13		632.42		0		12.6484655
Bt3		13		9		13		163.76		0		6.9982336
Bt4		25		8		12		263.59		0		6.5897337
Bt5		12		9		12		140.17		1		1.2978674
Bt6		8		11		15		219.10		0		12.4488148
Bt7		17		7		6		123.09		0		5.1719252
Bt8		13		10		9		224.35		0		8.6288733
Bt9		23		12		7		258.65		0		4.6857608
Bt10		7		6		8		47.79		0		5.6891091
Bt11		22		11		7		385.13		1		1.5914352
Bt12		18		8		12		384.08		0		13.3360161
Bt13		8		6		11		58.44		0		6.0872008
Bt14		21		8		6		183.29		0		5.4551162
Bt15		8		6		9		69.68		0		7.2578437
Bt16		10		7		14		186.41		1		2.6630477
Bt17		25		10		6		162.19		0		3.2437007
Bt18		14		8		8		175.39		0		7.8297104
Bt19		9		12		9		218.03		0		10.0937904
Bt20		6		7		6		55.95		0		6.6611843
Bt21		6		11		13		123.16		0		9.3299645
Bt22		12		9		10		114.66		0		5.3085017
Bt23		15		8		6		151.88		0		6.3281909
Bt24		9		9		14		275.63		0		17.0139784
Bt25		22		11		7		229.25		1		0.9473143
Bt26		20		10		14		545.13		0		13.6281601
Bt27		8		9		14		118.19		0		8.2074569
Bt28		23		6		7		212.72		0		7.7073536
Bt29		13		6		13		153.46		0		9.8374822
Bt30		8		6		8		92.21		0		9.6052804
Bt31		9		6		7		94.12		0		8.7147000
Bt32		24		12		11		517.63		0		8.9866360
Bt33		24		6		14		345.60		0		12.0000967
Bt34		14		10		14		230.52		1		1.6465516
Bt35		7		7		15		129.65		0		13.2293630
Bt36		12		11		15		219.65		0		8.3201939
Bt37		13		11		7		157.22		0		5.4972963
Bt38		17		8		11		344.33		0		12.6593490
Bt39		11		11		15		259.11		0		10.7071173
Bt40		6		8		6		69.13		0		7.2011724
Bt41		13		12		12		461.90		0		14.8044592
Bt42		20		11		12		373.63		0		8.4915168
Bt43		25		9		9		260.58		0		5.7907586
Bt44		8		10		11		190.70		0		11.9189895
Bt45		20		6		7		146.36		0		6.0981770
Bt46		6		6		11		68.54		1		1.9039529
Bt47		18		11		13		605.60		0		15.2929529
Bt48		12		11		13		209.69		0		7.9427492
Bt49		19		8		12		447.60		0		14.7236669
Bt50		7		6		7		38.27		0		4.5554992
Bt51		11		8		8		84.04		0		4.7749858
Bt52		11		7		15		214.72		0		13.9431482
Bt53		16		7		6		159.07		0		7.1014787
Bt54		11		9		15		340.51		0		17.1976435
Bt55		21		8		10		352.62		0		10.4947891
Bt56		11		6		10		143.98		0		10.9079491
Bt57		15		11		11		181.92		0		5.5128435
Bt58		11		6		9		65.07		0		4.9296309
Bt59		8		9		13		96.97		1		1.3468231
Bt60		6		6		8		36.57		0		5.0796081
Bt61		17		6		11		203.35		0		9.9680124
Bt62		16		7		8		173.40		0		7.7408970
Bt63		6		9		10		116.74		0		10.8096179
Bt64		10		8		10		190.93		0		11.9328397
Bt65		23		6		14		335.22		0		12.1457687
Bt66		14		7		7		119.24		0		6.0835992
Bt67		12		12		7		213.53		0		7.4143832
Bt68		13		7		8		74.31		0		4.0828968
Bt69		11		10		14		365.71		0		16.6233382
Bt70		6		7		7		48.32		0		5.7526319
Bt71		17		7		7		90.16		0		3.7882391
Bt72		21		7		12		306.82		0		10.4359734
Bt73		7		7		13		63.99		0		6.5292526
Bt74		15		12		13		474.78		0		13.1884128
Bt75		25		9		13		599.53		1		2.6645743
Bt76		23		8		11		383.65		1		2.0850526
Bt77		24		10		9		370.90		0		7.7270407
Bt78		11		8		12		261.88		0		14.8797598
Bt79		16		12		8		307.72		0		8.0134393
Bt80		7		8		8		54.57		0		4.8719891
Bt81		15		6		13		265.52		0		14.7511209
Bt82		24		9		6		201.50		0		4.6644356
Bt83		18		8		11		382.57		0		13.2836310
Bt84		7		10		8		132.36		0		9.4541802
Bt85		12		6		6		95.77		0		6.6507660
Bt86		15		6		12		259.81		0		14.4338413
Bt87		7		12		10		145.64		0		8.6689207
Bt88		12		12		9		138.97		0		4.8253818
Bt89		7		6		10		99.02		1		2.3576413
Bt90		6		6		6		25.18		0		3.4969134
Bt91		16		7		6		113.78		0		5.0793502
Bt92		6		10		15		214.50		0		17.8752705
Bt93		14		9		8		179.76		0		7.1333764
Bt94		11		9		14		344.75		0		17.4115675
Bt95		9		8		11		172.52		0		11.9804353
Bt96		23		11		6		171.23		0		3.3840009
Bt97		17		9		6		116.06		0		3.7929406
Bt98		6		9		7		50.34		0		4.6606968
Bt99		6		11		8		75.33		0		5.7069281
Bt100		8		6		6		43.24		0		4.5040528

DEMANDS PER CUSTOMER
i	Type Quantity
1	Bt1 1	Bt3 2	Bt18 1	Bt28 1	Bt32 1	Bt44 1	Bt52 1	Bt54 1	Bt67 1	Bt71 1	Bt85 1	Bt89 1	Bt91 1	Bt92 1	
2	Bt1 1	Bt18 1	Bt40 1	Bt60 1	Bt68 3	Bt70 1	
3	Bt13 1	Bt21 1	Bt25 1	Bt27 1	Bt43 1	Bt44 1	Bt55 1	Bt65 1	Bt69 1	Bt70 1	Bt71 1	Bt72 1	Bt86 1	
4	Bt2 1	Bt10 1	Bt24 1	Bt42 1	Bt56 1	Bt58 1	Bt60 1	Bt66 1	Bt68 2	Bt70 1	Bt78 2	Bt79 1	Bt88 1	Bt92 1	Bt94 1	Bt100 1	
5	Bt2 1	Bt9 1	Bt20 1	Bt24 1	Bt26 1	Bt31 2	Bt32 1	Bt39 1	Bt40 1	Bt45 1	Bt68 1	Bt95 1	
6	Bt2 1	Bt11 1	Bt16 1	Bt17 1	Bt24 1	Bt47 1	Bt53 1	Bt54 1	Bt67 1	Bt72 1	Bt87 1	
7	Bt5 1	Bt29 1	Bt37 1	Bt39 1	Bt43 1	Bt46 1	Bt47 1	Bt54 1	Bt55 1	Bt57 1	Bt72 1	Bt81 1	Bt82 1	Bt90 1	Bt95 1	
8	Bt3 1	Bt5 1	Bt14 1	Bt15 1	Bt26 1	Bt54 1	Bt72 1	Bt74 1	Bt83 1	
9	Bt16 1	Bt17 1	Bt30 1	Bt41 2	Bt47 1	Bt58 1	Bt61 1	Bt70 1	Bt73 1	Bt80 1	Bt87 1	Bt88 1	Bt95 1	Bt97 1	
10	Bt2 1	Bt11 1	Bt12 1	Bt16 1	Bt22 1	Bt23 1	Bt28 1	Bt50 1	Bt72 1	Bt77 1	Bt79 1	Bt85 1	Bt99 1	Bt100 1	
11	Bt29 1	Bt30 1	Bt39 1	Bt42 1	Bt45 1	Bt48 1	Bt52 1	Bt57 1	Bt61 1	Bt71 1	Bt77 1	Bt80 1	Bt81 1	Bt87 1	Bt89 1	Bt94 1	Bt98 1	Bt100 2	
12	Bt3 1	Bt4 1	Bt8 1	Bt13 1	Bt15 1	Bt18 1	Bt25 1	Bt42 1	Bt44 1	Bt55 1	Bt58 1	Bt63 1	Bt67 1	Bt98 1	
13	Bt2 1	Bt11 1	Bt12 1	Bt21 1	Bt25 1	Bt35 1	Bt41 1	Bt42 1	Bt44 1	Bt62 1	Bt65 1	Bt69 1	Bt71 1	Bt89 1	
14	Bt1 1	Bt17 1	Bt25 1	Bt34 1	Bt48 1	Bt51 1	Bt57 1	Bt63 1	Bt73 1	Bt77 1	Bt83 1	Bt89 1	Bt93 1	Bt99 1	
15	Bt1 1	Bt17 1	Bt22 1	Bt30 1	Bt33 1	Bt39 2	Bt41 1	Bt51 1	Bt70 1	Bt83 1	Bt94 1	
16	Bt5 1	Bt28 1	Bt45 1	Bt50 1	Bt54 1	Bt68 1	Bt71 1	Bt72 1	Bt78 1	Bt79 1	Bt94 1	Bt97 1	
17	Bt7 1	Bt14 1	Bt18 1	Bt27 1	Bt31 1	Bt45 1	Bt46 1	Bt52 2	Bt56 1	Bt61 1	Bt70 1	
18	Bt5 1	Bt10 1	Bt19 1	Bt29 1	Bt74 1	Bt80 2	Bt84 1	Bt88 2	Bt92 1	Bt94 2	Bt98 1	
19	Bt5 1	Bt11 1	Bt13 1	Bt17 1	Bt19 1	Bt52 1	Bt54 1	Bt57 1	Bt59 1	Bt66 1	Bt70 1	Bt74 1	Bt75 1	Bt78 1	Bt80 1	
20	Bt6 1	Bt29 1	Bt31 1	Bt36 1	Bt45 1	Bt66 1	Bt70 1	Bt76 1	Bt77 1	Bt84 1	Bt87 1	
21	Bt10 1	Bt14 1	Bt23 1	Bt24 1	Bt33 1	Bt43 1	Bt50 1	Bt56 1	Bt67 1	Bt75 1	Bt87 1	Bt89 1	Bt97 2	
22	Bt13 1	Bt15 1	Bt29 1	Bt30 1	Bt33 1	Bt54 1	Bt62 1	Bt67 1	Bt82 1	Bt84 1	Bt87 1	Bt90 1	Bt99 1	
23	Bt3 1	Bt9 1	Bt20 1	Bt21 1	Bt30 1	Bt50 1	Bt52 1	Bt53 1	Bt69 1	Bt86 1	Bt89 1	Bt90 1	Bt96 1	Bt100 1	
24	Bt4 1	Bt7 1	Bt41 1	Bt44 1	Bt45 1	Bt46 1	Bt73 1	Bt81 1	Bt86 1	Bt87 1	Bt98 1	
25	Bt3 1	Bt5 1	Bt7 1	Bt25 1	Bt29 1	Bt35 1	Bt40 2	Bt41 1	Bt44 1	Bt52 1	Bt56 1	Bt62 1	Bt64 2	Bt72 1	Bt85 1	Bt88 1	Bt94 1	Bt95 1	
26	Bt3 1	Bt9 1	Bt11 1	Bt17 1	Bt20 1	Bt28 1	Bt54 1	Bt56 1	Bt59 1	Bt64 1	Bt92 1	
27	Bt18 1	Bt32 1	Bt33 1	Bt37 1	Bt50 1	Bt58 1	Bt59 1	Bt67 1	Bt70 1	Bt76 1	Bt79 1	
28	Bt8 1	Bt11 1	Bt13 1	Bt20 1	Bt23 1	Bt25 1	Bt29 1	Bt35 1	Bt46 1	Bt63 1	Bt65 1	Bt82 1	Bt100 1	
29	Bt4 1	Bt13 1	Bt30 1	Bt32 1	Bt34 1	Bt36 1	Bt47 1	Bt51 1	Bt53 2	Bt70 1	Bt82 2	Bt100 1	
30	Bt10 1	Bt14 1	Bt16 1	Bt32 1	Bt42 1	Bt51 1	Bt64 1	Bt67 1	Bt76 1	Bt78 1	Bt81 1	
