Name					8_TruckTrailer_n30_m200_bt100_3
Number_of_Customers			30
Number_of_Items				200
Number_of_ItemTypes			100
Number_of_Vehicles			6
TimeWindows				0

VEHICLE
Mass_Capacity				25950
CargoSpace_Length			136
CargoSpace_Width			25
CargoSpace_Height			30
Wheelbase				36
Max_Mass_FrontAxle			10000
Max_Mass_RearAxle			11500
Max_Mass_TrailerAxle			24000
Distance_Kingpin_RearAxle		6
Distance_Kingpin_TrailerAxle		76
Distance_CargoSpace_TrailerAxle		92
Distance_Mass_Tractor_RearAxle		25
Distance_Mass_Trailer_TrailerAxle	16
Mass_Tractor				7300
Mass_Trailer				6750

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		0		0		0		0
1		42		46		8		0		0		0		2012.79		13480
2		50		67		5		0		0		0		1058.89		6600
3		67		61		6		0		0		0		1338.97		8944
4		53		68		7		0		0		0		2407.51		13956
5		51		68		8		0		0		0		1481.52		7906
6		45		35		3		0		0		0		853.194		4346
7		40		9		3		0		0		0		476.668		3438
8		63		59		8		0		0		0		1830.58		11833
9		42		22		15		0		0		0		3239.68		18922
10		50		41		9		0		0		0		2051.14		10596
11		19		22		8		0		0		0		1734.76		10743
12		37		31		4		0		0		0		385.225		2378
13		14		11		6		0		0		0		1494.45		9465
14		51		64		6		0		0		0		832.911		6066
15		28		32		6		0		0		0		2308.14		13238
16		11		17		1		0		0		0		474.078		3024
17		27		50		5		0		0		0		1367.29		9007
18		3		68		5		0		0		0		705.715		4863
19		70		38		5		0		0		0		1030.22		5781
20		55		52		5		0		0		0		1294.5		9274
21		26		26		8		0		0		0		1529.56		9364
22		36		17		9		0		0		0		1711.87		10375
23		13		68		5		0		0		0		1549.14		8828
24		68		48		8		0		0		0		1626.64		9426
25		63		42		10		0		0		0		2208.46		14678
26		32		15		8		0		0		0		2201.72		12460
27		38		57		4		0		0		0		666.988		3920
28		15		4		10		0		0		0		2258.51		13232
29		6		25		10		0		0		0		2636.5		15808
30		10		4		5		0		0		0		1283.74		6781

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		17		9		11		335.54		0		10.9653627
Bt2		16		12		14		340.78		0		8.8746089
Bt3		17		7		8		186.36		0		7.8304227
Bt4		20		10		14		635.76		0		15.8941083
Bt5		16		10		15		275.68		0		8.6149139
Bt6		22		7		15		447.70		0		14.5357642
Bt7		10		7		7		107.65		0		7.6891894
Bt8		17		11		11		206.08		0		5.5102097
Bt9		18		12		14		474.08		0		10.9740302
Bt10		6		6		8		32.07		0		4.4538417
Bt11		22		11		8		259.96		0		5.3711204
Bt12		21		11		15		480.17		0		10.3933862
Bt13		6		12		13		149.04		0		10.3496654
Bt14		20		12		7		376.03		0		7.8339554
Bt15		19		11		6		288.07		0		6.8915259
Bt16		16		7		14		346.65		0		15.4754274
Bt17		15		10		12		378.76		0		12.6252200
Bt18		7		9		12		108.58		0		8.6173898
Bt19		20		11		10		525.92		1		2.3905538
Bt20		8		6		7		60.52		0		6.3038851
Bt21		8		6		9		88.40		0		9.2083807
Bt22		11		9		7		84.42		0		4.2637894
Bt23		9		10		6		124.43		0		6.9127596
Bt24		15		8		8		167.36		0		6.9734610
Bt25		22		10		13		543.35		0		12.3488480
Bt26		8		9		10		126.92		0		8.8140434
Bt27		18		7		7		178.98		0		7.1024469
Bt28		12		7		6		99.62		0		5.9298342
Bt29		13		10		9		210.96		0		8.1139542
Bt30		6		8		6		40.24		0		4.1920102
Bt31		17		7		8		115.20		0		4.8404174
Bt32		8		10		11		95.06		0		5.9415575
Bt33		9		8		15		237.29		1		3.2957374
Bt34		6		8		8		67.40		0		7.0207296
Bt35		21		10		14		358.61		0		8.5384021
Bt36		24		6		14		462.00		0		16.0415819
Bt37		6		10		11		148.65		0		12.3873515
Bt38		17		10		6		166.15		0		4.8866825
Bt39		12		8		8		105.44		0		5.4917049
Bt40		8		6		8		90.93		0		9.4714750
Bt41		15		9		9		209.66		0		7.7653564
Bt42		15		10		9		281.44		0		9.3811697
Bt43		18		6		15		199.69		0		9.2448298
Bt44		7		7		12		121.78		0		12.4269790
Bt45		7		10		12		154.18		1		2.2026072
Bt46		11		9		8		121.47		0		6.1347524
Bt47		8		9		11		121.22		1		1.6836635
Bt48		25		10		14		750.00		0		14.9999905
Bt49		11		8		12		146.16		0		8.3046796
Bt50		7		7		6		50.17		0		5.1193682
Bt51		16		10		14		248.85		0		7.7766614
Bt52		6		10		10		124.40		0		10.3669471
Bt53		22		10		12		468.34		0		10.6440490
Bt54		7		8		15		130.98		0		11.6943669
Bt55		6		6		13		103.47		0		14.3709814
Bt56		25		10		13		429.69		0		8.5938447
Bt57		23		11		8		241.19		0		4.7665634
Bt58		9		10		12		108.80		0		6.0446025
Bt59		8		11		15		153.57		0		8.7254574
Bt60		7		7		7		55.37		0		5.6502372
Bt61		6		9		11		69.74		0		6.4575425
Bt62		24		6		14		392.53		0		13.6294996
Bt63		11		6		9		102.23		1		1.5489028
Bt64		16		10		7		246.79		0		7.7122562
Bt65		12		12		6		179.70		1		1.2479400
Bt66		24		9		11		400.26		0		9.2653474
Bt67		19		9		13		311.47		0		9.1074377
Bt68		6		10		6		79.70		0		6.6415233
Bt69		10		10		6		70.59		0		3.5294584
Bt70		6		7		6		58.90		0		7.0123860
Bt71		23		12		15		936.47		1		3.3930137
Bt72		6		12		8		101.52		0		7.0501316
Bt73		13		8		6		78.01		0		3.7506274
Bt74		14		11		7		210.00		0		6.8180283
