Name					71_TruckTrailer_n120_m400_bt10_1
Number_of_Customers			120
Number_of_Items				400
Number_of_ItemTypes			10
Number_of_Vehicles			9
TimeWindows				0

VEHICLE
Mass_Capacity				25950
CargoSpace_Length			136
CargoSpace_Width			25
CargoSpace_Height			30
Wheelbase				36
Max_Mass_FrontAxle			10000
Max_Mass_RearAxle			11500
Max_Mass_TrailerAxle			24000
Distance_Kingpin_RearAxle		6
Distance_Kingpin_TrailerAxle		76
Distance_CargoSpace_TrailerAxle		92
Distance_Mass_Tractor_RearAxle		25
Distance_Mass_Trailer_TrailerAxle	16
Mass_Tractor				7300
Mass_Trailer				6750

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		0		0		0		0
1		5		16		3		0		0		0		348.169		1932
2		12		60		1		0		0		0		674.816		2904
3		53		37		3		0		0		0		430.546		3646
4		30		5		5		0		0		0		2025.18		8898
5		17		48		2		0		0		0		247.374		1316
6		64		52		6		0		0		0		847.367		5159
7		50		1		3		0		0		0		278.483		1344
8		29		22		2		0		0		0		665.229		2772
9		26		57		5		0		0		0		665.976		3540
10		38		13		3		0		0		0		453.076		2576
11		39		1		1		0		0		0		674.816		2904
12		44		15		1		0		0		0		260.8		1368
13		11		32		4		0		0		0		717.666		3422
14		28		42		2		0		0		0		812.493		3624
15		57		2		1		0		0		0		146.434		1463
16		45		2		3		0		0		0		598.648		2982
17		38		45		3		0		0		0		962.653		4500
18		27		22		5		0		0		0		510.777		2556
19		51		29		5		0		0		0		793.333		3942
20		22		6		3		0		0		0		903.385		4703
21		52		19		4		0		0		0		980.859		4508
22		45		4		3		0		0		0		246.406		1008
23		7		27		4		0		0		0		1036.4		4892
24		16		8		3		0		0		0		881.581		4703
25		28		20		7		0		0		0		1056.66		6415
26		34		66		4		0		0		0		936.794		4734
27		12		53		5		0		0		0		950.783		5705
28		56		5		3		0		0		0		288.901		2135
29		54		18		4		0		0		0		852.486		3816
30		3		33		2		0		0		0		470.292		2106
