Nr	Name				No_of_Customers		No_of_Items		Time_Windows
1	001_n020_m200_bt3		20			200			1
2	002_n020_m200_bt3		20			200			1
3	003_n020_m200_bt3		20			200			1
4	004_n020_m200_bt3		20			200			1
5	005_n020_m200_bt3		20			200			1
6	006_n020_m200_bt10		20			200			1
7	007_n020_m200_bt10		20			200			1
8	008_n020_m200_bt10		20			200			1
9	009_n020_m200_bt10		20			200			1
10	010_n020_m200_bt10		20			200			1
11	011_n020_m200_bt100		20			200			1
12	012_n020_m200_bt100		20			200			1
13	013_n020_m200_bt100		20			200			1
14	014_n020_m200_bt100		20			200			1
15	015_n020_m200_bt100		20			200			1
16	016_n020_m200_bt3		20			200			1
17	017_n020_m200_bt3		20			200			1
18	018_n020_m200_bt3		20			200			1
19	019_n020_m200_bt3		20			200			1
20	020_n020_m200_bt3		20			200			1
21	021_n020_m200_bt10		20			200			1
22	022_n020_m200_bt10		20			200			1
23	023_n020_m200_bt10		20			200			1
24	024_n020_m200_bt10		20			200			1
25	025_n020_m200_bt10		20			200			1
26	026_n020_m200_bt100		20			200			1
27	027_n020_m200_bt100		20			200			1
28	028_n020_m200_bt100		20			200			1
29	029_n020_m200_bt100		20			200			1
30	030_n020_m200_bt100		20			200			1
31	031_n020_m200_bt3		20			200			1
32	032_n020_m200_bt3		20			200			1
33	033_n020_m200_bt3		20			200			1
34	034_n020_m200_bt3		20			200			1
35	035_n020_m200_bt3		20			200			1
36	036_n020_m200_bt10		20			200			1
37	037_n020_m200_bt10		20			200			1
38	038_n020_m200_bt10		20			200			1
39	039_n020_m200_bt10		20			200			1
40	040_n020_m200_bt10		20			200			1
41	041_n020_m200_bt100		20			200			1
42	042_n020_m200_bt100		20			200			1
43	043_n020_m200_bt100		20			200			1
44	044_n020_m200_bt100		20			200			1
45	045_n020_m200_bt100		20			200			1
46	046_n020_m200_bt3		20			200			1
47	047_n020_m200_bt3		20			200			1
48	048_n020_m200_bt3		20			200			1
49	049_n020_m200_bt3		20			200			1
50	050_n020_m200_bt3		20			200			1
51	051_n020_m200_bt10		20			200			1
52	052_n020_m200_bt10		20			200			1
53	053_n020_m200_bt10		20			200			1
54	054_n020_m200_bt10		20			200			1
55	055_n020_m200_bt10		20			200			1
56	056_n020_m200_bt100		20			200			1
57	057_n020_m200_bt100		20			200			1
58	058_n020_m200_bt100		20			200			1
59	059_n020_m200_bt100		20			200			1
60	060_n020_m200_bt100		20			200			1
61	061_n060_m200_bt3		60			200			1
62	062_n060_m200_bt3		60			200			1
63	063_n060_m200_bt3		60			200			1
64	064_n060_m200_bt3		60			200			1
65	065_n060_m200_bt3		60			200			1
66	066_n060_m200_bt10		60			200			1
67	067_n060_m200_bt10		60			200			1
68	068_n060_m200_bt10		60			200			1
69	069_n060_m200_bt10		60			200			1
70	070_n060_m200_bt10		60			200			1
71	071_n060_m200_bt100		60			200			1
72	072_n060_m200_bt100		60			200			1
73	073_n060_m200_bt100		60			200			1
74	074_n060_m200_bt100		60			200			1
75	075_n060_m200_bt100		60			200			1
76	076_n060_m200_bt3		60			200			1
77	077_n060_m200_bt3		60			200			1
78	078_n060_m200_bt3		60			200			1
79	079_n060_m200_bt3		60			200			1
80	080_n060_m200_bt3		60			200			1
81	081_n060_m200_bt10		60			200			1
82	082_n060_m200_bt10		60			200			1
83	083_n060_m200_bt10		60			200			1
84	084_n060_m200_bt10		60			200			1
85	085_n060_m200_bt10		60			200			1
86	086_n060_m200_bt100		60			200			1
87	087_n060_m200_bt100		60			200			1
88	088_n060_m200_bt100		60			200			1
89	089_n060_m200_bt100		60			200			1
90	090_n060_m200_bt100		60			200			1
91	091_n060_m200_bt3		60			200			1
92	092_n060_m200_bt3		60			200			1
93	093_n060_m200_bt3		60			200			1
94	094_n060_m200_bt3		60			200			1
95	095_n060_m200_bt3		60			200			1
96	096_n060_m200_bt10		60			200			1
97	097_n060_m200_bt10		60			200			1
98	098_n060_m200_bt10		60			200			1
99	099_n060_m200_bt10		60			200			1
100	100_n060_m200_bt10		60			200			1
101	101_n060_m200_bt100		60			200			1
102	102_n060_m200_bt100		60			200			1
103	103_n060_m200_bt100		60			200			1
104	104_n060_m200_bt100		60			200			1
