Name				477_n060_m400_bt100
Number_of_Customers		60
Number_of_Items			400
Number_of_ItemTypes		100
Number_of_Vehicles		13
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		1000		0		0		0
1		59		57		5		0		957		10		421.87		2689
2		68		59		4		646		926		10		146.21		948
3		46		29		7		0		977		10		496.69		2728
4		13		39		5		0		166		10		272.84		1158
5		47		48		7		0		972		10		344.34		1495
6		66		54		6		0		953		10		381.95		2341
7		24		43		7		0		976		10		578.48		2089
8		25		23		3		0		974		10		199.74		943
9		54		38		5		0		970		10		300.07		1782
10		57		20		7		0		963		10		470.73		2828
11		5		37		9		0		959		10		636.45		2007
12		58		71		5		0		947		10		229.35		807
13		9		40		9		779		987		10		391.68		2896
14		56		4		9		374		622		10		348.83		2577
15		19		3		4		0		954		10		166.59		750
16		25		71		5		0		952		10		342.67		1767
17		20		59		8		0		961		10		759.27		2843
18		48		12		6		170		418		10		323.84		1605
19		43		45		7		0		977		10		441.98		2168
20		66		11		7		0		950		10		402.19		1966
21		51		12		6		0		961		10		601.03		2427
22		20		32		7		0		974		10		250.75		1666
23		46		62		8		0		960		10		359.18		1671
24		16		12		4		0		960		10		147.56		684
25		64		14		8		0		954		10		204.22		1625
26		38		75		8		0		949		10		359.45		2060
27		2		64		8		41		281		10		336.33		2412
28		11		60		6		397		609		10		354.26		1883
29		33		3		9		0		957		10		616.91		2940
30		35		71		6		183		429		10		363.02		2186
31		62		59		9		320		572		10		723.09		3255
32		53		78		7		217		467		10		353		1709
33		5		33		9		0		959		10		495		2472
34		23		59		5		0		963		10		284.51		1904
35		18		42		7		0		971		10		380.52		2202
36		50		63		8		86		324		10		646.17		2764
37		49		0		6		0		952		10		516.62		2178
38		28		51		5		0		972		10		304.53		1343
39		16		25		6		0		968		10		234.2		1062
40		48		53		9		0		967		10		540.14		2122
41		69		79		6		0		934		10		296.07		1896
42		20		26		8		0		972		10		269.21		1457
43		54		9		7		0		957		10		314.89		2322
44		62		51		6		0		958		10		318.24		1864
45		59		50		5		0		961		10		252.37		1788
46		9		24		6		742		1000		10		364.02		2153
47		69		66		9		0		943		10		601.11		2938
48		41		73		9		0		951		10		424.75		2749
49		70		43		5		0		954		10		384.74		1304
50		35		78		7		708		956		10		467.51		1977
51		17		9		6		0		958		10		557.96		2745
52		11		64		5		0		952		10		246.07		1740
53		44		36		9		0		980		10		596.95		3507
54		33		20		8		0		974		10		421.32		2664
55		60		47		7		406		636		10		420.45		1864
56		36		3		4		0		957		10		130.33		908
57		3		20		7		776		1000		10		388.68		2597
58		38		46		6		0		978		10		468.27		2126
59		23		10		6		0		962		10		372.77		2017
60		37		29		8		0		983		10		465.33		2198

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		7		5		3		20.51		0		8.7144963
Bt2		12		5		6		62.65		0		18.4180731
Bt3		6		4		5		19.52		0		7.9464017
Bt4		8		2		6		14.89		0		4.0802579
Bt5		9		3		3		80.93		0		20.6021730
Bt6		11		5		3		31.75		0		14.6163517
Bt7		13		6		4		46.32		1		1.3752235
Bt8		8		2		6		15.89		0		4.5770811
Bt9		9		3		4		126.98		1		32.6310303
Bt10		6		4		7		30.90		1		1.6266582
Bt11		10		3		8		27.32		0		8.8280843
Bt12		13		4		5		101.92		0		14.7997169
Bt13		14		5		6		68.25		0		4.7028512
Bt14		15		6		8		115.15		0		6.4079144
Bt15		15		2		8		42.96		0		12.3597281
Bt16		8		5		3		16		1		2.7508831
Bt17		10		5		3		16.50		0		4.1465661
Bt18		17		6		5		73.63		1		1.9209541
Bt19		17		5		5		74.95		0		7.1760105
Bt20		16		5		5		104.79		0		73.3215158
Bt21		14		5		8		247.08		0		12.1271796
Bt22		6		3		5		10.88		0		2.6650442
Bt23		12		2		6		120.23		0		60.1190691
Bt24		8		4		4		17.55		0		6.1207991
Bt25		8		7		6		34.04		0		4.2390524
Bt26		17		4		3		20.54		1		0.9172062
Bt27		7		6		4		21.83		0		3.8905833
Bt28		14		4		8		51.74		1		3.1228925
Bt29		11		6		6		44.94		0		8.5535722
Bt30		13		4		6		45.68		1		2.8254804
Bt31		15		3		6		103.36		0		64.4556778
Bt32		16		2		5		29.58		0		4.9250748
Bt33		7		6		7		46.94		1		1.5503224
Bt34		10		6		3		25.64		0		13.2277366
Bt35		17		4		7		55.80		0		4.3835927
Bt36		13		6		8		114.06		0		10.6058650
Bt37		12		6		8		79.81		1		1.4343831
Bt38		8		6		3		14.41		0		4.3239167
Bt39		9		6		6		130.39		0		11.5798294
Bt40		9		5		3		22.36		0		35.8962955
Bt41		15		5		5		66.70		0		12.9694839
Bt42		16		6		4		41.74		0		8.1340564
Bt43		8		5		8		43.25		0		17.5199719
Bt44		17		6		3		58.39		1		6.5359288
Bt45		17		6		8		143.39		0		4.4590066
Bt46		12		5		3		34.93		0		8.2308664
Bt47		10		6		8		105.42		0		6.2485537
Bt48		16		6		3		48.14		1		1.7804505
Bt49		13		7		3		51.60		0		4.9815091
Bt50		7		7		7		40.85		0		4.7987504
Bt51		14		3		4		25.50		0		10.1258349
Bt52		13		4		4		28.09		1		4.8982071
Bt53		17		5		5		46.82		0		5.6009478
Bt54		16		3		6		34.72		1		2.5763823
Bt55		16		6		4		45.34		0		4.0982180
Bt56		7		6		5		22.65		0		5.1129022
Bt57		13		5		3		30.42		0		5.8441036
Bt58		16		4		3		121.28		0		27.6314843
Bt59		13		3		4		20.34		0		27.8415720
Bt60		11		6		3		88.76		0		21.6088987
Bt61		8		4		5		80.08		1		5.4010404
Bt62		15		7		7		108.57		0		5.8900963
Bt63		15		3		6		265.81		0		31.0693670
Bt64		7		3		8		27.80		1		1.9112796
Bt65		7		4		4		16.93		0		4.8842431
Bt66		12		4		4		36.99		0		4.2236030
Bt67		6		5		4		21.16		0		42.4543871
