Name				150_n060_m200_bt100
Number_of_Customers		60
Number_of_Items			200
Number_of_ItemTypes		100
Number_of_Vehicles		19
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		1000		0		0		0
1		6		49		4		437		645		10		697.34		977
2		68		2		3		534		780		10		613.21		600
3		41		26		3		763		1000		10		349.1		639
4		39		16		4		196		454		10		851.19		1280
5		34		4		4		244		470		10		428.4		900
6		51		42		3		646		904		10		485.8		447
7		29		74		5		0		209		10		677.34		866
8		60		24		2		824		1000		10		545.69		663
9		56		48		3		0		129		10		742.43		970
10		12		19		4		791		1000		10		866.82		1168
11		29		39		2		407		621		10		475.2		440
12		34		14		4		315		517		10		925.72		1357
13		33		27		4		642		888		10		883.59		1240
14		55		72		5		87		317		10		1395.07		1552
15		66		33		3		565		793		10		623.9		786
16		3		34		3		681		877		10		462.57		703
17		22		36		4		302		550		10		699.04		1363
18		46		80		3		228		540		10		629.46		875
19		7		56		4		340		554		10		1422.42		1830
20		17		66		5		387		577		10		1875.7		1748
21		29		69		4		783		989		10		1279.74		1657
22		68		38		4		9		227		10		319.18		718
23		52		30		4		642		904		10		766.62		1540
24		31		22		3		771		1000		10		423.09		629
25		51		63		5		110		324		10		846.46		991
26		23		77		3		123		343		10		316.07		362
27		24		13		2		353		607		10		474.34		974
28		18		23		4		204		422		10		555.19		734
29		31		54		5		284		488		10		667.4		904
30		55		55		5		528		798		10		1169.79		1520
31		62		76		2		603		837		10		294.08		612
32		16		2		3		452		718		10		535.32		726
33		58		57		2		415		623		10		243.15		404
34		1		41		2		289		535		10		699.58		648
35		43		74		4		626		862		10		547.81		845
36		57		31		4		7		231		10		504.44		937
37		26		39		2		746		998		10		257.53		522
38		12		42		3		28		330		10		308.64		579
39		13		46		4		286		564		10		492.51		813
40		41		50		3		240		468		10		968.99		972
41		1		6		2		486		750		10		670.21		1040
42		4		12		2		0		182		10		240.88		304
43		17		36		4		506		758		10		716.92		1117
44		16		78		3		308		536		10		578.38		768
45		51		48		3		398		714		10		345.59		568
46		45		34		5		819		1000		10		953.06		1730
47		11		36		2		0		162		10		407.17		508
48		20		29		5		389		627		10		1237.4		1774
49		1		62		3		805		1000		10		419.96		693
50		69		50		2		125		383		10		318		714
51		63		15		2		383		639		10		314.41		413
52		0		50		4		128		402		10		1045.9		1476
53		5		19		2		239		477		10		419.63		548
54		9		45		4		792		1000		10		1057.12		1404
55		64		52		3		560		790		10		638.26		858
56		18		54		3		555		767		10		361.64		696
57		3		24		2		352		574		10		216.19		294
58		21		7		2		225		465		10		554.01		574
59		69		73		4		799		1000		10		969.72		1176
60		43		9		3		188		420		10		440.03		732

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		11		3		8		83.97		0		8.0353556
Bt2		16		3		4		67.91		0		45.3850924
Bt3		17		5		7		438.96		1		19.5807311
Bt4		14		4		8		337.53		0		97.2568374
Bt5		17		7		5		360.96		0		79.4772007
Bt6		17		4		5		253.82		0		22.9923318
Bt7		16		4		4		220.49		0		43.8616360
Bt8		7		2		7		94.48		0		28.5292408
Bt9		7		3		7		141.25		0		36.9025750
Bt10		16		5		6		365.91		0		55.5497122
Bt11		14		4		5		167.72		1		8.3731687
Bt12		7		5		6		146.66		1		9.8486887
Bt13		7		3		7		150.56		0		26.8399163
Bt14		13		4		4		184.17		1		7.3886086
Bt15		6		5		8		182.89		0		57.8614727
Bt16		16		3		7		249.25		0		57.2193574
Bt17		13		4		5		281		0		78.0772194
Bt18		16		2		6		145.37		0		56.8821439
Bt19		12		2		6		80.15		0		16.0694214
Bt20		11		4		8		219.59		0		30.6559331
Bt21		8		6		5		224.81		0		20.1037193
Bt22		17		7		6		756.68		0		27.2283629
Bt23		16		2		4		119.65		0		117.7296352
Bt24		11		2		8		161.28		1		5.9352993
Bt25		12		3		5		110.49		0		140.1106184
Bt26		16		5		7		169.84		1		6.7570887
Bt27		9		3		3		63.02		0		32.4880279
Bt28		9		5		4		194.20		0		36.5969603
Bt29		13		5		8		326.72		0		24.8423320
Bt30		11		5		5		180.43		0		13.3211990
Bt31		16		6		8		566.01		0		63.9726430
Bt32		9		7		8		460.83		0		88.4784623
Bt33		14		3		8		331.90		0		30.4368030
Bt34		6		6		4		45.37		0		38.1939115
Bt35		10		5		4		244.84		0		92.2903382
Bt36		12		6		4		87.87		0		18.8761811
Bt37		10		3		3		32.40		0		62.6002170
Bt38		17		5		6		358.31		0		10.6233838
Bt39		17		3		7		159		0		23.7161943
Bt40		15		2		3		67.97		0		42.5774975
Bt41		10		6		7		289.96		0		61.3856262
Bt42		14		6		7		442.89		0		40.1748139
Bt43		13		4		4		201.82		0		46.3510889
Bt44		14		5		8		304.30		0		11.0569927
Bt45		7		6		3		63.79		0		15.6390166
Bt46		8		6		5		157.56		1		10.1100695
Bt47		6		2		8		39.06		0		74.7625540
Bt48		8		4		3		126.15		0		147.4815321
Bt49		10		6		6		175.17		0		32.2867057
Bt50		11		6		8		257.42		0		21.4554542
Bt51		14		3		8		162.41		0		27.8568542
Bt52		9		3		6		111.85		0		69.7112081
Bt53		7		7		7		252.45		1		7.4610627
Bt54		6		2		8		33.19		0		12.8796914
Bt55		17		5		4		168.03		0		24.8196363
Bt56		15		5		3		145.53		0		57.3342317
Bt57		8		3		4		64.14		0		55.6809531
Bt58		15		5		6		202.73		1		11.7068952
Bt59		6		6		7		91.53		0		36.8519160
Bt60		15		7		3		219.93		1		13.7249303
Bt61		17		3		7		241.97		0		36.5568913
Bt62		12		4		4		130.81		0		63.1536073
Bt63		13		5		4		163		0		29.0545365
Bt64		9		6		4		170.09		0		81.2378102
Bt65		7		4		7		174.17		0		42.2159866
Bt66		8		2		4		46.28		0		77.5523057
Bt67		17		2		7		222.11		1		31.7241143
Bt68		15		5		5		334.15		0		43.6449232
Bt69		14		3		5		154.06		1		9.6170915
Bt70		15		3		6		117.89		0		28.7240278
Bt71		17		3		5		135.08		0		23.7774022
Bt72		15		3		5		82.50		0		43.1187191
Bt73		8		4		5		59.62		0		12.9447912
Bt74		9		7		4		139.64		0		66.2093776
Bt75		10		3		5		105.20		0		193.3903962
Bt76		14		7		4		753.11		1		28.8622216
Bt77		11		5		4		122.74		0		22.4359309
Bt78		9		5		8		213.58		0		39.2163735
Bt79		11		4		6		106.46		0		7.3946980
Bt80		7		6		6		206.79		0		62.9456164
Bt81		14		6		4		272.56		0		32.6437381
Bt82		7		7		8		282.48		1		8.5515279
Bt83		14		7		4		262.58		0		71.6051436
Bt84		7		2		4		42.95		0		29.5702158
Bt85		16		5		5		256.02		0		28.0496065
Bt86		16		3		7		316.01		0		178.2507045
Bt87		11		3		4		192.15		1		11.6422126
Bt88		17		6		3		303.72		0		63.1924773
Bt89		7		4		6		152.40		1		7.1049305
Bt90		7		7		8		479.09		0		166.6198912
Bt91		16		7		5		514.61		0		40.3825597
Bt92		14		5		8		285.30		1		7.6427170
Bt93		7		6		4		153.35		0		38.1606924
Bt94		17		6		7		311.34		1		13.3374785
Bt95		8		3		3		29.35		0		12.3439577
Bt96		10		3		8		109.64		0		18.7731223
Bt97		9		5		8		246.43		1		6.5285036
Bt98		17		3		3		90.33		0		36.4578141
Bt99		17		4		5		217.81		0		23.2924019
Bt100		6		6		6		126.62		1		8.9008941

DEMANDS PER CUSTOMER
i	Type Quantity
1	Bt43 1	Bt61 1	Bt62 1	Bt77 1	
2	Bt21 1	Bt28 2	
3	Bt36 1	Bt48 1	Bt71 1	
4	Bt18 1	Bt30 1	Bt42 1	Bt72 1	
5	Bt19 1	Bt27 1	Bt58 1	Bt72 1	
6	Bt9 1	Bt87 1	Bt89 1	
7	Bt19 1	Bt34 1	Bt43 1	Bt66 1	Bt88 1	
8	Bt61 1	Bt88 1	
9	Bt32 1	Bt45 1	Bt99 1	
10	Bt2 1	Bt4 1	Bt18 1	Bt86 1	
11	Bt17 1	Bt28 1	
12	Bt40 1	Bt42 1	Bt51 1	Bt53 1	
13	Bt21 1	Bt35 1	Bt44 1	Bt96 1	
14	Bt9 1	Bt13 1	Bt14 1	Bt22 1	Bt51 1	
15	Bt10 1	Bt28 1	Bt45 1	
16	Bt1 1	Bt48 1	Bt53 1	
17	Bt29 1	Bt37 1	Bt50 1	Bt72 1	
18	Bt17 1	Bt30 1	Bt55 1	
19	Bt6 1	Bt22 1	Bt92 1	Bt100 1	
20	Bt1 1	Bt22 1	Bt52 1	Bt64 1	Bt76 1	
21	Bt31 1	Bt46 1	Bt53 1	Bt88 1	
22	Bt34 1	Bt66 1	Bt70 1	Bt96 1	
23	Bt4 1	Bt11 1	Bt26 1	Bt59 1	
24	Bt30 1	Bt52 1	Bt62 1	
25	Bt13 1	Bt20 1	Bt62 1	Bt87 1	Bt93 1	
26	Bt40 1	Bt43 1	Bt66 1	
27	Bt63 1	Bt94 1	
28	Bt17 1	Bt74 1	Bt75 1	Bt95 1	
29	Bt12 1	Bt16 1	Bt40 1	Bt65 1	Bt95 1	
30	Bt17 1	Bt20 1	Bt32 1	Bt34 1	Bt63 1	
31	Bt39 1	Bt71 1	
32	Bt46 1	Bt75 1	Bt81 1	
33	Bt19 1	Bt63 1	
34	Bt7 1	Bt90 1	
35	Bt45 1	Bt60 1	Bt66 1	Bt99 1	
36	Bt1 1	Bt27 1	Bt74 1	Bt99 1	
37	Bt70 1	Bt74 1	
38	Bt52 1	Bt79 1	Bt98 1	
39	Bt20 1	Bt74 1	Bt84 1	Bt98 1	
40	Bt32 1	Bt86 1	Bt87 1	
41	Bt10 1	Bt44 1	
42	Bt43 1	Bt47 1	
43	Bt9 1	Bt20 1	Bt58 1	Bt93 1	
44	Bt6 1	Bt43 1	Bt77 1	
45	Bt63 1	Bt74 1	Bt84 1	
46	Bt2 1	Bt6 1	Bt50 1	Bt70 1	Bt85 1	
47	Bt6 1	Bt93 1	
48	Bt7 1	Bt29 1	Bt53 1	Bt60 1	Bt99 1	
49	Bt23 1	Bt72 1	Bt99 1	
50	Bt39 2	
51	Bt8 1	Bt60 1	
52	Bt1 1	Bt3 1	Bt17 1	Bt61 1	
53	Bt43 1	Bt99 1	
54	Bt33 1	Bt36 1	Bt77 1	Bt91 1	
55	Bt6 1	Bt8 1	Bt41 1	
56	Bt2 1	Bt19 1	Bt78 1	
57	Bt45 1	Bt89 1	
58	Bt33 1	Bt67 1	
59	Bt4 1	Bt6 1	Bt14 1	Bt28 1	
60	Bt18 1	Bt36 1	Bt80 1	
