Nr	Name			No_of_Customers		No_of_Items		Time_Windows
1	Inst_50_1_1		50			284			0
2	Inst_50_1_2		50			264			0
3	Inst_50_1_3		50			275			0
4	Inst_50_1_4		50			262			0
5	Inst_50_1_5		50			287			0
6	Inst_50_1_6		50			285			0
7	Inst_50_1_7		50			260			0
8	Inst_50_1_8		50			287			0
9	Inst_50_2_1		50			353			0
10	Inst_50_2_2		50			387			0
11	Inst_50_2_3		50			357			0
12	Inst_50_2_4		50			413			0
13	Inst_50_2_5		50			415			0
14	Inst_50_2_6		50			344			0
15	Inst_50_2_7		50			372			0
16	Inst_50_2_8		50			392			0
17	Inst_50_3_1		50			284			0
18	Inst_50_3_2		50			281			0
19	Inst_50_3_3		50			270			0
20	Inst_50_3_4		50			262			0
21	Inst_50_3_5		50			289			0
22	Inst_50_3_6		50			275			0
23	Inst_50_3_7		50			274			0
24	Inst_50_3_8		50			280			0
25	Inst_50_4_1		50			372			0
26	Inst_50_4_2		50			395			0
27	Inst_50_4_3		50			394			0
28	Inst_50_4_4		50			398			0
29	Inst_50_4_5		50			424			0
30	Inst_50_4_6		50			392			0
31	Inst_50_4_7		50			423			0
32	Inst_50_4_8		50			467			0
33	Inst_75_1_1		75			397			0
34	Inst_75_1_2		75			399			0
35	Inst_75_1_3		75			404			0
36	Inst_75_1_4		75			415			0
37	Inst_75_1_5		75			404			0
38	Inst_75_1_6		75			421			0
39	Inst_75_1_7		75			416			0
40	Inst_75_1_8		75			407			0
41	Inst_75_2_1		75			567			0
42	Inst_75_2_2		75			586			0
43	Inst_75_2_3		75			569			0
44	Inst_75_2_4		75			585			0
45	Inst_75_2_5		75			653			0
46	Inst_75_2_6		75			521			0
47	Inst_75_2_7		75			648			0
48	Inst_75_2_8		75			656			0
49	Inst_75_3_1		75			419			0
50	Inst_75_3_2		75			408			0
51	Inst_75_3_3		75			416			0
52	Inst_75_3_4		75			415			0
53	Inst_75_3_5		75			415			0
54	Inst_75_3_6		75			432			0
55	Inst_75_3_7		75			414			0
56	Inst_75_3_8		75			411			0
57	Inst_75_4_1		75			679			0
58	Inst_75_4_2		75			666			0
59	Inst_75_4_3		75			698			0
60	Inst_75_4_4		75			610			0
61	Inst_75_4_5		75			562			0
62	Inst_75_4_6		75			626			0
63	Inst_75_4_7		75			639			0
64	Inst_75_4_8		75			575			0
65	Inst_100_1_1		100			558			0
66	Inst_100_1_2		100			555			0
67	Inst_100_1_3		100			536			0
68	Inst_100_1_4		100			563			0
69	Inst_100_1_5		100			543			0
70	Inst_100_1_6		100			549			0
71	Inst_100_1_7		100			549			0
72	Inst_100_1_8		100			557			0
73	Inst_100_2_1		100			847			0
74	Inst_100_2_2		100			783			0
75	Inst_100_2_3		100			779			0
76	Inst_100_2_4		100			821			0
77	Inst_100_2_5		100			789			0
78	Inst_100_2_6		100			792			0
79	Inst_100_2_7		100			793			0
80	Inst_100_2_8		100			789			0
81	Inst_100_3_1		100			539			0
82	Inst_100_3_2		100			559			0
83	Inst_100_3_3		100			568			0
84	Inst_100_3_4		100			541			0
85	Inst_100_3_5		100			577			0
86	Inst_100_3_6		100			555			0
87	Inst_100_3_7		100			545			0
88	Inst_100_3_8		100			540			0
89	Inst_100_4_1		100			807			0
90	Inst_100_4_2		100			849			0
91	Inst_100_4_3		100			908			0
92	Inst_100_4_4		100			778			0
93	Inst_100_4_5		100			791			0
94	Inst_100_4_6		100			793			0
95	Inst_100_4_7		100			821			0
96	Inst_100_4_8		100			803			0
