Name				389_n060_m400_bt100
Number_of_Customers		60
Number_of_Items			400
Number_of_ItemTypes		100
Number_of_Vehicles		24
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		230		0		0		0
1		37		58		3		19		45		10		1002.93		996
2		59		39		4		132		164		10		421.85		832
3		42		55		6		60		90		10		737.66		2109
4		46		15		5		179		209		10		461.08		1163
5		24		37		7		104		132		10		1112.16		2490
6		63		38		9		103		125		10		980.4		2402
7		70		7		9		146		170		10		1377.2		2940
8		8		49		5		77		111		10		1918.83		1716
9		63		17		7		85		107		10		593.31		2265
10		49		54		5		65		93		10		533.68		1161
11		62		21		9		121		149		10		1391.72		2688
12		43		51		9		38		58		10		1566.11		3275
13		9		11		8		161		193		10		854.3		2306
14		51		14		8		161		183		10		1854.3		2659
15		17		55		8		173		199		10		1016.63		2784
16		37		10		4		170		198		10		691.87		1380
17		18		50		6		138		174		10		585.02		1467
18		6		3		9		121		151		10		680.44		1665
19		67		66		8		75		109		10		797.62		1787
20		64		59		6		66		94		10		722.71		1844
21		17		36		4		159		191		10		334.56		1113
22		42		67		6		150		184		10		523.06		1469
23		4		67		9		61		93		10		1157.55		2811
24		54		54		7		73		101		10		523.87		1623
25		14		2		6		101		123		10		504.87		1703
26		11		30		6		170		192		10		513.78		1511
27		32		39		6		186		218		10		429.86		1179
28		68		78		4		71		99		10		636.77		1620
29		43		11		7		19		49		10		584.5		1581
30		45		0		9		86		116		10		932.77		2269
31		7		24		7		133		155		10		1155.39		2246
32		0		67		7		49		87		10		894.81		2099
33		23		61		9		176		208		10		1194.14		2339
34		3		74		6		106		136		10		860.18		1639
35		53		78		5		84		120		10		406.17		912
36		57		7		4		99		123		10		844		1722
37		65		30		4		35		67		10		528.09		1356
38		15		48		7		80		96		10		741.56		1910
39		27		42		4		141		177		10		537.22		1416
40		11		74		6		161		187		10		402.14		1422
41		47		57		7		10		40		10		714.48		1541
42		34		28		7		71		105		10		757.19		1942
43		47		77		6		28		58		10		755.22		1821
44		12		22		7		114		140		10		958.49		1968
45		70		10		3		118		154		10		506.19		1106
46		55		37		6		87		125		10		1529.89		1954
47		22		75		9		29		59		10		792.01		2217
48		8		20		7		121		155		10		1087.25		2137
49		70		26		9		124		148		10		1294.94		2108
50		19		80		6		51		73		10		524.37		1594
51		24		49		9		50		86		10		1178.01		2449
52		10		67		7		158		188		10		722.95		1974
53		70		18		9		144		168		10		992.67		1998
54		26		78		5		38		66		10		668.13		1515
55		57		4		8		163		191		10		610.87		1664
56		24		22		6		164		188		10		496.48		1345
57		48		49		8		97		129		10		1031.41		2501
58		23		53		7		77		109		10		980.25		2276
59		50		79		7		68		108		10		991.32		1820
60		3		35		9		40		76		10		964.25		2649

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		16		5		6		201.72		0		9.2954540
Bt2		9		7		5		75.52		0		10.8714490
Bt3		11		3		7		60.45		1		3.0080355
Bt4		12		5		3		86.32		1		5.4854500
Bt5		13		4		7		97.11		1		7.3807514
Bt6		10		6		7		197.59		0		9.7165061
Bt7		10		4		3		48.02		0		38.1821219
Bt8		17		2		4		14.02		0		1.6461067
Bt9		12		5		6		50.63		0		6.9945740
Bt10		13		7		6		295.27		0		59.1054974
Bt11		12		3		4		48.10		0		48.9469534
Bt12		12		5		3		113.67		0		22.2500800
Bt13		7		3		5		28.50		0		8.7929524
Bt14		16		6		7		163.74		0		66.5666424
Bt15		6		2		4		17.49		0		18.4484402
Bt16		15		7		7		205.64		1		2.0153704
Bt17		9		4		6		148.82		0		23.2693270
Bt18		7		7		5		135.40		0		18.4848561
Bt19		12		3		3		54.06		0		39.4667800
Bt20		6		5		4		170.56		1		16.4921655
Bt21		9		6		6		86.33		0		9.3424847
Bt22		7		4		5		19.89		0		2.6511716
Bt23		16		6		7		358.19		0		37.2124880
Bt24		13		2		3		35.06		0		17.4991436
Bt25		12		6		8		430.53		0		118.9494723
Bt26		10		6		8		247.86		0		30.4342338
Bt27		10		6		8		128.98		0		12.3643180
Bt28		15		3		7		405.15		1		26.9608340
Bt29		16		3		4		42.68		0		8.4008470
Bt30		8		4		3		37.20		0		12.7301634
Bt31		9		6		8		242.63		0		15.1593322
Bt32		12		3		7		182.64		0		21.1583050
Bt33		10		7		6		201.55		0		76.6705146
Bt34		8		3		3		32.38		0		25.4856924
Bt35		12		4		4		61.91		0		46.3356110
Bt36		6		4		7		64.99		0		54.3452399
Bt37		12		7		5		331.07		0		34.7533402
Bt38		6		5		6		26.85		1		3.5839262
Bt39		6		4		6		114.79		0		12.9839319
Bt40		11		2		5		35.76		0		84.9194484
Bt41		13		3		4		73.06		0		30.3277045
Bt42		15		3		4		49.37		0		8.8772654
Bt43		10		4		7		235.93		0		52.5328229
Bt44		16		3		7		100.75		1		12.2882374
Bt45		12		5		7		44.02		0		8.6043915
Bt46		10		7		6		205.33		0		56.8410511
Bt47		7		5		6		96.67		0		30.2320189
Bt48		11		3		3		50.25		0		40.3166779
Bt49		12		6		4		229.60		0		43.2033887
Bt50		6		5		3		26.81		0		32.5500529
Bt51		11		5		3		50.30		1		5.3135938
Bt52		16		5		3		100.65		0		30.5104204
Bt53		16		3		6		76.53		0		11.9759246
Bt54		15		6		6		251.24		0		64.6934066
Bt55		11		3		7		116.21		1		8.6644081
Bt56		12		5		7		298.53		1		6.8172763
Bt57		13		2		4		12.39		0		3.1992250
Bt58		12		6		4		91		1		3.8074738
Bt59		15		5		5		95.25		0		28.9479253
Bt60		12		5		6		41.64		0		3.5233094
Bt61		8		4		3		14.44		0		14.4889492
Bt62		17		3		3		73.69		0		29.5180487
Bt63		6		3		4		14.13		0		20.3428125
Bt64		15		3		8		261.20		1		29.4703423
Bt65		15		5		6		179.77		0		9.9548175
Bt66		11		2		3		8.03		0		17.5915432
Bt67		9		6		8		176.83		0		68.4585370
Bt68		9		6		7		115.93		0		34.4499350
Bt69		8		5		6		32.69		1		3.5913100
Bt70		12		6		6		293.84		1		7.3443612
Bt71		8		6		4		44.46		1		20.9792697
Bt72		15		5		3		68.37		0		30.8815616
Bt73		14		6		6		899.23		0		202.5095027
Bt74		12		6		6		160.93		0		9.6339348
Bt75		9		6		6		252.52		0		46.8549060
Bt76		17		5		7		286.32		0		5.7271742
Bt77		14		6		7		370.07		0		25.5543391
Bt78		12		3		6		115.36		0		15.5091395
Bt79		6		6		6		148.60		0		51.8901208
Bt80		10		7		3		47.63		0		7.7732836
Bt81		9		6		4		67.90		0		16.8153752
Bt82		14		3		8		35.39		0		2.3077128
Bt83		11		4		7		40.67		0		5.2425001
Bt84		15		3		4		21.79		0		4.1894830
Bt85		11		4		5		112.57		0		37.3462671
Bt86		15		5		4		41.79		0		4.9356096
Bt87		8		2		6		11.97		0		14.1024680
Bt88		15		5		7		92.82		0		8.3504535
Bt89		10		4		8		38.36		0		7.5560350
Bt90		14		2		5		161.61		0		102.1106392
Bt91		15		6		5		236.55		0		33.2468821
Bt92		10		3		8		48.17		1		2.8583004
Bt93		7		7		5		77.62		1		4.7263559
Bt94		15		5		8		75.70		0		8.6758804
Bt95		9		7		8		137.41		1		11.7488620
Bt96		14		4		7		164.02		0		18.5565581
Bt97		6		6		4		165.78		0		52.4025814
Bt98		15		6		5		169.81		0		95.1927441
Bt99		9		3		8		153.10		0		19.1401419
Bt100		7		3		3		47.95		1		42.9661783

DEMANDS PER CUSTOMER
i	Type Quantity
1	Bt35 1	Bt73 1	Bt86 1	
2	Bt17 1	Bt41 1	Bt89 1	Bt90 1	
3	Bt4 1	Bt16 1	Bt29 1	Bt31 1	Bt68 1	Bt71 1	
4	Bt18 1	Bt31 1	Bt38 1	Bt66 1	Bt92 1	
5	Bt1 1	Bt27 1	Bt53 1	Bt64 1	Bt65 1	Bt78 1	Bt79 1	
6	Bt9 1	Bt33 1	Bt47 1	Bt57 1	Bt85 1	Bt86 1	Bt90 1	Bt95 1	Bt97 1	
7	Bt3 1	Bt4 1	Bt5 1	Bt6 1	Bt10 1	Bt49 1	Bt76 1	Bt85 1	Bt87 1	
8	Bt35 1	Bt45 1	Bt61 1	Bt73 2	
9	Bt14 1	Bt22 1	Bt38 1	Bt45 1	Bt66 1	Bt71 1	Bt76 1	
10	Bt31 1	Bt41 1	Bt47 1	Bt62 1	Bt80 1	
11	Bt31 2	Bt39 1	Bt53 1	Bt63 1	Bt66 1	Bt77 1	Bt98 1	Bt99 1	
12	Bt5 1	Bt49 1	Bt51 1	Bt53 1	Bt56 1	Bt68 1	Bt77 1	Bt96 2	
13	Bt2 1	Bt55 1	Bt58 1	Bt60 1	Bt69 1	Bt70 1	Bt86 1	Bt90 1	
14	Bt5 1	Bt41 1	Bt46 1	Bt47 1	Bt71 1	Bt72 1	Bt73 1	Bt77 1	
15	Bt16 1	Bt24 1	Bt37 1	Bt51 1	Bt67 1	Bt69 1	Bt80 1	Bt95 1	
16	Bt6 2	Bt19 1	Bt31 1	
17	Bt11 1	Bt52 1	Bt53 1	Bt59 1	Bt75 1	Bt87 1	
18	Bt12 2	Bt19 1	Bt35 1	Bt42 1	Bt60 1	Bt72 1	Bt87 1	Bt97 1	
19	Bt3 1	Bt6 1	Bt19 1	Bt48 1	Bt58 1	Bt63 1	Bt75 1	Bt93 1	
20	Bt20 1	Bt32 1	Bt69 1	Bt82 1	Bt95 1	Bt96 1	
21	Bt34 1	Bt58 1	Bt59 1	Bt68 1	
22	Bt18 1	Bt30 1	Bt31 1	Bt42 1	Bt45 1	Bt61 1	
23	Bt9 1	Bt16 1	Bt33 1	Bt39 1	Bt58 1	Bt63 1	Bt74 1	Bt97 1	Bt99 1	
24	Bt2 1	Bt45 1	Bt53 1	Bt63 1	Bt79 1	Bt87 1	Bt99 1	
25	Bt21 1	Bt40 1	Bt43 1	Bt57 1	Bt60 1	Bt88 1	
26	Bt2 1	Bt12 1	Bt31 1	Bt38 1	Bt61 1	Bt83 1	
27	Bt12 1	Bt15 1	Bt32 1	Bt45 1	Bt48 1	Bt84 1	
28	Bt1 1	Bt6 1	Bt53 1	Bt74 1	
29	Bt12 1	Bt58 1	Bt68 1	Bt69 1	Bt78 1	Bt81 1	Bt100 1	
30	Bt8 1	Bt9 1	Bt31 1	Bt36 1	Bt50 1	Bt51 1	Bt56 1	Bt66 1	Bt67 1	
31	Bt18 1	Bt33 1	Bt56 1	Bt65 1	Bt67 1	Bt78 1	Bt100 1	
32	Bt3 1	Bt25 1	Bt39 1	Bt50 1	Bt65 1	Bt83 1	Bt86 1	
33	Bt1 1	Bt3 1	Bt24 1	Bt36 1	Bt43 2	Bt55 1	Bt59 1	Bt79 1	
34	Bt32 1	Bt35 1	Bt76 1	Bt78 1	Bt92 1	Bt97 1	
35	Bt7 1	Bt15 1	Bt63 1	Bt69 1	Bt70 1	
36	Bt60 1	Bt65 1	Bt75 1	Bt77 1	
37	Bt52 1	Bt65 2	Bt81 1	
38	Bt11 1	Bt12 1	Bt26 1	Bt29 1	Bt57 1	Bt68 1	Bt74 1	
39	Bt11 1	Bt14 1	Bt38 1	Bt56 1	
40	Bt29 1	Bt48 2	Bt78 1	Bt81 1	Bt94 1	
41	Bt24 1	Bt34 1	Bt49 1	Bt67 1	Bt78 1	Bt80 1	Bt93 1	
42	Bt3 1	Bt42 1	Bt67 1	Bt72 1	Bt76 1	Bt81 1	Bt100 1	
43	Bt14 1	Bt15 1	Bt24 1	Bt58 1	Bt76 1	Bt90 1	
44	Bt4 1	Bt25 1	Bt29 1	Bt30 1	Bt39 1	Bt46 1	Bt60 1	
45	Bt2 1	Bt10 1	Bt18 1	
46	Bt12 1	Bt73 1	Bt74 1	Bt76 1	Bt84 1	Bt100 1	
47	Bt24 1	Bt33 1	Bt36 1	Bt50 1	Bt51 1	Bt65 2	Bt86 1	Bt87 1	
48	Bt13 1	Bt20 1	Bt23 1	Bt77 1	Bt82 1	Bt85 1	Bt87 1	
49	Bt12 1	Bt41 1	Bt47 2	Bt49 1	Bt53 1	Bt56 1	Bt79 1	Bt90 1	
50	Bt8 1	Bt10 1	Bt29 1	Bt38 1	Bt51 1	Bt59 1	
51	Bt28 1	Bt30 1	Bt57 1	Bt65 1	Bt67 1	Bt74 1	Bt83 1	Bt87 1	Bt99 1	
52	Bt3 1	Bt9 1	Bt19 1	Bt48 1	Bt55 1	Bt56 1	Bt88 1	
53	Bt2 1	Bt3 1	Bt4 1	Bt28 1	Bt30 1	Bt47 1	Bt72 1	Bt78 1	Bt80 1	
54	Bt30 1	Bt44 1	Bt46 1	Bt49 1	Bt59 1	
55	Bt14 1	Bt21 1	Bt24 1	Bt42 1	Bt48 1	Bt57 1	Bt97 1	Bt100 1	
56	Bt36 2	Bt55 1	Bt68 1	Bt84 1	Bt85 1	
57	Bt3 1	Bt26 1	Bt33 1	Bt53 1	Bt68 1	Bt87 1	Bt96 1	Bt99 1	
58	Bt17 1	Bt26 1	Bt68 1	Bt79 2	Bt88 1	Bt93 1	
59	Bt32 1	Bt44 1	Bt51 1	Bt62 1	Bt75 1	Bt90 1	Bt98 1	
60	Bt18 1	Bt22 1	Bt50 1	Bt72 1	Bt77 1	Bt79 1	Bt86 1	Bt93 1	Bt94 1	
