Name				073_n060_m200_bt100
Number_of_Customers		60
Number_of_Items			200
Number_of_ItemTypes		100
Number_of_Vehicles		24
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		230		0		0		0
1		5		26		3		0		188		10		1260.4		6371
2		29		1		5		0		185		10		2018.54		11691
3		69		62		2		0		176		10		853.89		4872
4		55		42		5		0		198		10		2287.13		13318
5		13		26		2		0		196		10		637.68		4150
6		38		40		2		0		214		10		765.23		3721
7		47		9		2		0		191		10		2007.95		3972
8		52		38		2		0		202		10		691.42		4840
9		8		67		3		70		100		10		934.95		4544
10		12		49		3		0		193		10		2289.38		11208
11		62		42		3		0		192		10		1439.82		7482
12		4		71		5		0		172		10		3124.61		10108
13		1		73		4		142		168		10		1423.36		9576
14		3		29		5		0		187		10		2455.31		11742
15		36		71		4		0		183		10		1740.68		9155
16		39		35		2		0		216		10		1053.56		5408
17		50		47		3		0		200		10		3490.97		5521
18		3		36		4		0		187		10		1463.19		7644
19		57		35		4		0		198		10		899.85		5403
20		16		58		4		0		190		10		1785.72		8427
21		68		53		2		0		182		10		1415.54		6013
22		46		65		5		0		188		10		2206.96		11526
23		32		41		3		0		213		10		853.99		5326
24		0		26		4		0		183		10		1802.16		7495
25		46		1		2		166		196		10		452.73		2470
26		27		57		2		46		80		10		643.54		3383
27		42		19		4		0		202		10		2736.11		10986
28		14		23		4		0		195		10		2146.86		7044
29		2		44		2		0		185		10		780.91		4158
30		34		7		3		171		201		10		941.93		5108
31		51		11		3		0		191		10		1545.54		7062
32		7		15		2		0		185		10		410.11		2602
33		59		7		2		59		75		10		2235.88		4344
34		31		69		3		0		185		10		1078.63		5392
35		17		68		3		79		103		10		469.58		2444
36		3		3		2		39		71		10		699.7		3061
37		61		34		3		127		153		10		2132.99		9624
38		28		24		4		0		206		10		2891.48		9448
39		17		41		5		100		136		10		2364.25		12026
40		33		24		3		0		208		10		495.38		2858
41		49		51		4		81		105		10		2336.21		10795
42		11		17		4		0		190		10		1560.65		7844
43		55		55		4		0		191		10		1860.59		8053
44		32		17		2		133		161		10		911.09		3732
45		37		23		4		0		207		10		1692.47		8503
46		67		68		5		56		88		10		1466.27		10207
47		43		24		4		0		206		10		640.69		5000
48		35		51		4		0		204		10		1318.39		7468
49		56		71		3		0		178		10		895.27		4401
50		2		17		4		0		182		10		1101.57		6883
51		49		38		2		0		205		10		573.17		3195
52		1		23		2		57		79		10		514.01		3348
53		69		74		3		0		168		10		1030.76		5836
54		38		78		3		0		176		10		1790.34		9804
55		26		20		3		0		202		10		2065		7594
56		1		54		5		0		181		10		1599.31		10476
57		34		64		4		114		150		10		1606.5		8141
58		63		15		4		0		185		10		2978.16		12529
59		51		20		5		0		198		10		915.99		4908
60		6		62		3		0		180		10		1018.2		5580

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		28		14		6		1581.98		0		40.7289629
Bt2		27		5		13		404.83		1		3.7649632
Bt3		22		8		7		163.86		0		9.7798713
Bt4		25		10		7		351.49		1		4.3637882
Bt5		14		13		14		416.32		0		7.9202343
Bt6		30		5		10		299.73		1		11.2504366
Bt7		26		9		7		188.49		0		14.2405431
Bt8		35		8		11		410.97		0		8.3380740
Bt9		13		6		13		175.05		0		8.1487452
Bt10		16		11		13		482.84		0		69.0063647
Bt11		24		7		8		171.57		1		6.4946479
Bt12		23		8		7		194.45		0		12.8516919
Bt13		16		11		6		274.37		0		14.2559056
Bt14		23		12		14		930.36		0		19.3438120
Bt15		31		8		14		458.18		0		27.6979951
Bt16		13		13		9		335.65		0		7.5993024
Bt17		34		10		8		518.22		0		23.5431329
Bt18		15		12		13		279.92		0		6.1864048
Bt19		26		14		7		575.55		0		18.2978510
Bt20		13		12		13		238.24		0		24.5564107
Bt21		27		9		10		470.89		1		2.7492606
Bt22		33		13		7		399.98		0		9.1204299
Bt23		21		10		14		485.54		0		6.3806681
Bt24		15		12		6		244.05		0		6.6185549
Bt25		22		14		10		3023.91		0		131.3468969
Bt26		33		5		10		215.58		1		2.6954945
Bt27		26		11		10		304.23		0		14.6122534
Bt28		31		7		14		363.51		0		45.9967462
Bt29		15		10		8		198.64		0		8.6247964
Bt30		19		5		9		124.19		0		15.9557357
Bt31		29		8		8		198.86		0		4.1789278
Bt32		23		14		12		538.50		0		13.0140598
Bt33		27		5		11		366.62		0		47.9182152
Bt34		26		14		10		689.48		0		15.4907181
Bt35		17		13		10		435.87		0		11.1575979
Bt36		35		8		13		922.17		1		7.5494310
Bt37		14		5		8		80.54		1		2.4187039
Bt38		15		7		11		310.18		0		45.2468181
Bt39		32		11		7		643.30		0		6.9986081
Bt40		25		9		13		363.77		0		18.5579352
Bt41		27		9		6		286.01		0		11.1886518
Bt42		15		14		13		520.34		0		7.5831824
Bt43		34		8		9		644.83		0		18.0549689
Bt44		14		11		7		240.88		0		54.2596202
Bt45		25		14		13		1079.63		1		4.8220412
Bt46		15		13		13		339.99		0		8.5179123
Bt47		28		5		13		482.75		0		62.7020137
Bt48		25		6		14		459.22		0		21.7056614
Bt49		12		9		9		618.13		0		20.1400946
Bt50		22		5		11		123		0		15.2800858
Bt51		17		7		11		227.67		1		6.3838803
Bt52		18		7		8		234.09		0		87.4327618
Bt53		34		10		8		510.15		0		16.0281815
Bt54		33		8		8		485.12		0		9.6435599
Bt55		22		11		8		489.10		1		5.1194783
Bt56		17		8		8		291.84		0		40.1905033
Bt57		27		11		8		422.64		0		20.9102555
Bt58		16		7		9		227.72		0		14.0432744
Bt59		15		9		13		353.12		0		65.3954722
Bt60		12		6		11		133.13		0		8.1737607
Bt61		14		10		11		364.05		0		12.0475047
Bt62		31		8		13		615.32		0		66.8052787
Bt63		16		7		11		315.96		1		12.5623418
Bt64		23		9		7		226.28		1		3.1234956
Bt65		17		7		8		194.53		0		10.0046883
Bt66		18		10		11		387.19		0		29.5515273
Bt67		14		8		14		249.56		0		13.6021510
Bt68		17		13		13		752.17		0		20.3167072
Bt69		30		12		13		1059		0		44.2533807
