Name				403_n060_m400_bt100
Number_of_Customers		60
Number_of_Items			400
Number_of_ItemTypes		100
Number_of_Vehicles		52
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		230		0		0		0
1		49		42		8		0		204		10		2956.97		21153
2		53		23		8		0		198		10		2707.85		17437
3		13		69		4		42		64		10		975.83		6672
4		28		65		9		0		189		10		3048.13		19863
5		3		4		7		53		89		10		2479.34		17293
6		65		32		4		0		189		10		1207.2		8188
7		68		73		4		0		169		10		1441.89		8870
8		31		8		7		0		192		10		2497.67		15559
9		68		76		9		149		177		10		2036.19		13793
10		5		42		9		45		81		10		3076.65		20493
11		69		43		6		133		169		10		2140.63		12885
12		39		35		6		0		216		10		2283.81		13544
13		35		60		6		164		198		10		1958.8		13087
14		67		68		7		0		174		10		3097.88		14924
15		32		17		9		0		201		10		2883.76		18762
16		65		39		9		61		91		10		3113.61		20972
17		6		32		5		0		190		10		1051.66		8411
18		49		79		5		0		173		10		2266.32		14386
19		6		77		5		0		168		10		1418.39		10427
20		33		25		7		0		209		10		2999.23		22302
21		6		64		5		0		178		10		1326.43		8154
22		42		77		8		44		76		10		1596.18		11190
23		0		79		6		127		157		10		2130.33		11134
24		56		38		8		0		198		10		3388.12		19769
25		40		32		7		144		174		10		1622.95		11386
26		59		35		8		131		159		10		2445.38		16202
27		10		64		5		52		72		10		1624.1		11525
28		5		50		8		69		101		10		3072.91		22784
29		52		57		5		0		192		10		2791.59		15775
30		46		0		6		62		98		10		1622.45		10542
31		21		17		5		84		112		10		1313		7384
32		28		59		7		120		146		10		2012.23		14803
33		29		30		9		109		139		10		1742.82		13428
34		12		9		7		63		87		10		2439.49		16700
35		2		25		9		0		185		10		2229.01		18146
36		36		13		7		0		197		10		2323.16		18900
37		50		50		5		0		198		10		1742.89		12528
38		48		33		6		0		206		10		1542.13		10682
39		60		16		7		52		86		10		2354.18		20388
40		56		54		9		0		191		10		2521.91		15165
41		39		1		7		121		147		10		2582.23		16459
42		58		66		7		63		91		10		1952.67		14188
43		57		42		7		0		196		10		2966		17108
44		15		28		9		29		55		10		3868.03		24316
45		10		47		5		0		192		10		1825.43		14184
46		3		7		7		128		162		10		2479.3		16428
47		55		28		7		0		198		10		2583.43		17142
48		38		21		8		59		87		10		2605.53		17618
49		28		80		6		0		174		10		3039.97		22481
50		33		39		6		152		184		10		2479.62		16720
51		32		13		8		0		197		10		2719.4		19346
52		47		62		4		0		190		10		1894.57		12474
53		60		49		9		0		191		10		2791.3		20440
54		44		72		4		0		181		10		1406.51		8719
55		12		44		5		15		49		10		1241.85		8659
56		58		58		7		62		90		10		3303.2		17435
57		43		41		5		7		39		10		1854.04		12308
58		21		75		9		56		90		10		2789.67		21419
59		16		41		4		0		200		10		1096.79		7074
60		60		70		5		122		148		10		1591.12		12028

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		17		12		6		206.96		0		5.7450727
Bt2		15		12		7		156.61		0		10.3857445
Bt3		16		11		13		338.41		0		10.3936964
Bt4		14		14		13		358.18		0		17.0963484
Bt5		25		7		7		200.09		0		5.6561815
Bt6		31		10		10		375.17		0		4.8525585
Bt7		18		6		14		191.49		0		17.3171931
Bt8		24		12		10		333.95		0		8.7835100
Bt9		17		6		14		183.32		0		6.7470872
Bt10		34		5		12		206.68		1		2.1465112
Bt11		15		12		8		170.31		0		21.1108396
Bt12		17		5		10		102.10		0		14.4791747
Bt13		14		5		10		71.47		0		35.6374552
Bt14		24		11		9		259.10		0		13.3204851
Bt15		25		6		6		105.97		1		1.9004447
Bt16		30		14		12		534.06		1		2.1915212
Bt17		33		8		10		289.76		0		5.3195137
Bt18		18		8		14		353.95		0		8.9320232
Bt19		25		13		11		498.56		0		4.6790482
Bt20		33		10		13		689.02		0		25.9608248
Bt21		30		10		14		664.18		1		2.3783758
Bt22		27		11		13		640.88		0		5.8802851
Bt23		23		12		8		413.30		0		5.0486519
Bt24		20		7		9		178.58		1		1.6131796
Bt25		26		13		6		383.10		0		9.9365076
Bt26		31		14		8		490.80		0		11.9418796
Bt27		26		13		14		687.99		0		6.7332001
Bt28		17		12		6		178.11		0		59.0944904
Bt29		28		11		10		452.06		0		26.6092270
Bt30		18		8		8		125.11		0		6.5744412
Bt31		19		14		12		478.35		0		5.8528942
Bt32		26		10		8		314.88		1		3.9545733
Bt33		25		5		12		192.36		0		42.1007916
Bt34		20		13		7		306.68		0		19.2809605
Bt35		12		7		10		139.40		0		22.3356533
Bt36		21		9		13		295.60		0		7.9627146
Bt37		21		5		13		206.15		0		28.5114654
Bt38		30		5		6		167.62		0		7.8963733
Bt39		17		8		12		244.10		1		1.7210910
Bt40		23		12		14		708.66		0		12.7197269
Bt41		29		10		6		184.63		1		2.1157188
Bt42		33		10		11		560.45		0		18.9478744
Bt43		17		8		13		313.86		0		17.5405579
Bt44		23		9		9		206.02		0		4.1756152
Bt45		23		8		13		320.04		0		5.0146439
Bt46		31		12		12		641.06		0		10.4974740
Bt47		30		8		13		612.71		0		49.1197428
Bt48		35		11		6		362.16		0		12.7958203
Bt49		29		7		8		372.64		1		8.1520726
Bt50		24		14		14		740.26		0		13.5396972
Bt51		14		10		14		323.58		0		39.8050655
Bt52		27		14		14		1004.15		1		4.3359155
Bt53		17		6		9		126.72		0		56.8236748
Bt54		23		10		10		317.01		1		3.8489373
Bt55		26		13		14		622.57		0		11.7739257
Bt56		35		10		11		757.47		0		13.7149397
Bt57		31		12		14		814.13		1		2.0364080
Bt58		21		10		9		249.20		0		15.4246712
Bt59		35		10		6		285.90		0		16.4550505
Bt60		23		8		8		213.91		0		10.0811982
Bt61		16		5		8		97.78		0		8.4492607
Bt62		29		12		12		628.72		1		6.6893009
Bt63		35		8		12		481.78		0		11.8587939
Bt64		27		11		12		468.33		1		15.9181501
Bt65		26		13		10		545		1		3.0176409
Bt66		33		8		6		298.13		0		11.2647497
Bt67		12		7		12		215.31		0		26.1310118
Bt68		22		10		7		284.94		0		32.0842966
Bt69		24		14		8		446.41		0		9.5811441
Bt70		26		14		14		519.73		0		4.8831316
