Name				117_n060_m200_bt100
Number_of_Customers		60
Number_of_Items			200
Number_of_ItemTypes		100
Number_of_Vehicles		22
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		230		0		0		0
1		52		43		3		0		201		10		215.59		452
2		42		39		2		84		110		10		293.91		410
3		49		23		3		78		112		10		600.81		1192
4		42		65		3		132		164		10		1131.03		1484
5		43		14		4		129		161		10		1058.41		1540
6		6		33		4		75		105		10		496.57		879
7		15		64		4		0		184		10		1314.81		1560
8		68		16		2		0		181		10		264.3		392
9		46		49		5		102		128		10		773.98		1752
10		33		47		4		0		207		10		646.62		1288
11		6		70		3		0		174		10		970.86		1014
12		31		17		4		92		128		10		583.77		733
13		52		14		4		61		95		10		387.58		516
14		24		6		5		0		188		10		1206.21		2005
15		9		61		2		57		85		10		557.99		692
16		39		33		3		78		114		10		1166.15		1221
17		70		61		5		51		81		10		1166.14		2015
18		65		41		5		88		118		10		1456.89		2088
19		66		46		2		34		56		10		545.4		528
20		45		60		4		69		97		10		1424.78		1542
21		61		18		5		0		188		10		1613.31		1538
22		8		30		3		90		116		10		743.89		1100
23		49		42		2		91		117		10		350.05		420
24		16		36		2		93		113		10		343.42		444
25		2		80		5		65		103		10		1622.37		2270
26		0		48		3		129		161		10		730.67		900
27		46		7		2		164		192		10		199.27		248
28		48		33		4		0		206		10		1021.61		1364
29		67		62		2		0		178		10		486.83		560
30		25		1		2		0		184		10		447.76		528
31		64		79		2		97		135		10		294.83		228
32		61		80		4		46		78		10		1167.48		1240
33		70		11		2		58		90		10		482.88		1022
34		41		1		3		0		185		10		608.93		546
35		56		30		4		0		198		10		1790.31		1603
36		6		17		3		68		92		10		415.76		712
37		48		1		2		43		73		10		260.03		378
38		50		9		2		50		74		10		254.11		480
39		40		68		5		50		82		10		1192		1550
40		12		62		2		54		82		10		564.25		670
41		32		36		3		0		216		10		703.72		1010
42		8		25		5		124		158		10		665.07		1240
43		16		13		5		157		183		10		1276.67		1368
44		11		77		3		131		155		10		770.59		1245
45		37		6		2		26		58		10		419.12		530
46		15		55		2		108		136		10		257.96		456
47		5		3		3		136		172		10		465.95		693
48		70		71		4		52		86		10		1105.87		1220
49		26		28		4		0		208		10		765.84		1033
50		65		36		4		158		180		10		619.99		682
51		15		79		4		130		162		10		515.56		789
52		0		38		5		147		179		10		385.18		806
53		60		53		3		160		192		10		845.6		1196
54		40		20		2		0		204		10		92.72		210
55		34		62		5		171		205		10		1266.28		1397
56		53		4		5		55		77		10		987.4		1250
57		13		5		2		68		92		10		238.98		330
58		42		62		3		132		168		10		499.23		868
59		45		40		4		61		99		10		1111.49		1470
60		57		9		2		29		65		10		172.63		310

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		17		5		7		540.42		0		18.6012970
Bt2		16		6		3		273.68		0		46.1657520
Bt3		10		3		8		228.72		0		103.0190003
Bt4		15		5		6		226.86		0		18.8883609
Bt5		6		6		5		63.12		0		55.5176864
Bt6		6		3		5		87.38		0		14.8160188
Bt7		10		3		3		42.44		1		5.9962943
Bt8		17		2		5		90.55		0		14.9410156
Bt9		6		2		5		39.66		0		21.3693236
Bt10		8		6		6		373.63		0		39.3237145
Bt11		10		6		5		273.93		1		24.2295954
Bt12		15		4		6		166.34		0		22.3538742
Bt13		17		7		3		214.66		0		36.1116252
Bt14		17		3		5		96.66		0		20.8463872
Bt15		8		4		7		132.77		0		26.5395896
Bt16		13		6		6		163.68		1		5.3111453
Bt17		12		5		6		110.39		0		13.4111289
Bt18		14		6		5		129.43		0		7.3778933
Bt19		13		6		4		299.82		1		9.4776761
Bt20		6		3		6		96.84		0		139.4274636
Bt21		8		4		5		119.08		0		27.9815926
Bt22		9		4		7		129.92		0		15.8045622
Bt23		17		3		5		162.40		0		13.2086286
Bt24		14		3		7		277.80		0		17.0926651
Bt25		15		7		3		303.02		0		102.0978539
Bt26		12		5		6		157.78		0		14.7782693
Bt27		8		6		6		179.56		0		16.5823045
Bt28		10		3		8		203.36		0		121.5127814
Bt29		12		3		5		158.56		0		29.1995280
Bt30		15		5		6		308.92		1		12.2389334
Bt31		12		5		5		239.46		1		43.2965216
Bt32		15		6		7		595.45		0		57.4922942
Bt33		8		2		8		116.65		0		162.0182065
Bt34		8		4		7		142.37		0		27.5662882
Bt35		13		3		3		53.59		1		5.1067653
Bt36		10		3		8		171.77		0		21.1327583
Bt37		12		4		4		143.79		0		58.3267946
Bt38		17		6		8		1078.75		0		19.6023774
Bt39		13		3		7		212.13		0		13.0697136
Bt40		6		2		5		51.44		0		42.8844293
Bt41		16		6		3		275.99		0		43.0968594
Bt42		11		6		8		539.79		1		25.2857487
Bt43		8		7		5		193.62		0		95.7469602
Bt44		15		5		5		368.80		0		38.3492714
Bt45		16		3		6		172.65		1		6.4403277
Bt46		9		5		3		125.58		0		233.6470545
Bt47		16		2		3		94.91		0		33.0733921
Bt48		8		4		8		201.71		0		128.2083145
Bt49		12		4		7		276.14		0		22.2766673
Bt50		10		4		5		179.25		1		12.8847141
Bt51		8		4		5		148.43		0		135.1171201
Bt52		11		4		6		187.07		0		29.0857510
Bt53		17		5		8		320.87		0		20.4607255
Bt54		11		4		5		85.25		0		77.1687901
Bt55		8		4		7		138.02		0		47.3435285
Bt56		6		6		8		241.24		0		28.5845774
Bt57		11		2		5		52.47		0		21.7859428
Bt58		12		6		5		163.05		0		91.9809128
Bt59		7		4		3		157.52		0		78.6302308
Bt60		12		4		8		296.61		0		20.9703360
Bt61		12		2		5		45.53		0		16.9600194
Bt62		10		4		3		50.28		1		9.6180792
Bt63		17		3		6		276.75		0		30.0559747
Bt64		9		2		3		87.97		0		80.0196285
Bt65		11		5		5		127.24		0		19.1626964
Bt66		8		4		8		153.76		1		31.7840782
Bt67		12		6		5		251.36		0		42.1674244
Bt68		15		6		6		447.07		0		43.9976483
Bt69		15		6		4		672.06		0		164.5453529
Bt70		11		4		3		43.60		0		14.9046923
Bt71		10		6		6		244.75		1		7.7980216
Bt72		16		3		6		308.09		1		18.4202987
Bt73		16		7		6		259.98		0		32.1393973
Bt74		14		7		4		318.53		1		8.7056551
Bt75		10		7		8		279.38		0		50.1865722
Bt76		12		7		5		414.23		0		26.8098846
Bt77		14		3		3		72.25		0		25.5221751
Bt78		14		7		7		206.74		0		6.4819670
Bt79		8		2		6		77.93		0		19.3705841
Bt80		14		3		7		464.43		0		40.6178829
Bt81		16		5		7		806.39		1		43.6341611
Bt82		9		3		5		61.85		0		17.3142559
Bt83		15		5		6		423.13		0		152.1080235
Bt84		13		6		3		419.04		0		72.0818957
Bt85		10		3		4		96.33		1		17.6115300
Bt86		6		3		8		97.33		1		16.0816508
Bt87		8		3		6		137.31		0		24.9239003
Bt88		14		2		4		70.68		0		51.4295197
Bt89		10		2		7		108.87		0		29.1603440
Bt90		12		4		6		239.71		0		21.5574092
Bt91		12		2		5		82.62		0		82.8046815
Bt92		15		3		8		215.55		0		29.1870699
Bt93		6		6		6		108.57		0		32.6116000
Bt94		14		5		8		387.35		1		16.5241007
Bt95		13		7		6		240.22		0		33.1926755
Bt96		16		7		3		184.32		0		22.2348607
Bt97		8		7		4		210.69		0		73.5991626
Bt98		13		5		6		370.63		0		96.5228314
Bt99		14		5		8		288.50		1		40.7032633
Bt100		14		5		8		233.68		0		17.4925117

DEMANDS PER CUSTOMER
i	Type Quantity
1	Bt5 1	Bt70 1	Bt89 1	
2	Bt8 1	Bt28 1	
3	Bt52 1	Bt66 1	Bt73 1	
4	Bt60 1	Bt68 1	Bt94 1	
5	Bt43 2	Bt78 1	Bt80 1	
6	Bt5 1	Bt14 1	Bt31 1	Bt86 1	
7	Bt32 1	Bt64 1	Bt68 1	Bt96 1	
8	Bt43 1	Bt88 1	
9	Bt6 1	Bt58 2	Bt66 1	Bt78 1	
10	Bt17 1	Bt27 1	Bt43 1	Bt58 1	
11	Bt21 1	Bt80 1	Bt94 1	
12	Bt36 1	Bt39 1	Bt40 1	Bt51 1	
13	Bt6 1	Bt21 1	Bt77 1	Bt89 1	
14	Bt2 1	Bt65 1	Bt76 1	Bt78 1	Bt96 1	
15	Bt31 1	Bt74 1	
16	Bt39 1	Bt42 1	Bt76 1	
17	Bt23 1	Bt43 1	Bt67 1	Bt75 2	
18	Bt72 2	Bt74 1	Bt99 1	Bt100 1	
19	Bt10 1	Bt36 1	
20	Bt10 1	Bt27 1	Bt32 1	Bt49 1	
21	Bt7 1	Bt31 1	Bt37 1	Bt38 1	Bt89 1	
22	Bt62 1	Bt75 1	Bt76 1	
23	Bt24 1	Bt77 1	
24	Bt19 1	Bt70 1	
25	Bt8 1	Bt30 1	Bt42 1	Bt73 1	Bt83 1	
26	Bt37 1	Bt45 1	Bt76 1	
27	Bt33 1	Bt91 1	
28	Bt4 1	Bt75 1	Bt84 1	Bt85 1	
29	Bt49 1	Bt97 1	
30	Bt36 1	Bt41 1	
31	Bt59 1	Bt87 1	
32	Bt48 1	Bt76 2	Bt87 1	
33	Bt49 1	Bt78 1	
34	Bt77 2	Bt80 1	
35	Bt10 1	Bt38 1	Bt65 1	Bt97 1	
36	Bt12 1	Bt15 1	Bt33 1	
37	Bt6 1	Bt45 1	
38	Bt26 1	Bt85 1	
39	Bt28 1	Bt44 1	Bt61 1	Bt65 1	Bt68 1	
40	Bt43 1	Bt98 1	
41	Bt30 1	Bt50 1	Bt92 1	
42	Bt21 2	Bt33 1	Bt62 1	Bt73 1	
43	Bt55 1	Bt66 1	Bt80 1	Bt83 1	Bt86 1	
44	Bt4 1	Bt14 1	Bt68 1	
45	Bt34 1	Bt63 1	
46	Bt47 1	Bt58 1	
47	Bt35 1	Bt45 1	Bt90 1	
48	Bt56 1	Bt76 1	Bt90 1	Bt97 1	
49	Bt21 1	Bt30 1	Bt41 1	Bt82 1	
50	Bt20 1	Bt33 1	Bt64 1	Bt74 1	
51	Bt13 1	Bt51 1	Bt70 1	Bt89 1	
52	Bt7 1	Bt26 1	Bt70 1	Bt88 2	
53	Bt11 1	Bt94 1	Bt96 1	
54	Bt7 1	Bt62 1	
55	Bt4 1	Bt37 1	Bt65 1	Bt69 1	Bt85 1	
56	Bt7 1	Bt14 1	Bt44 1	Bt89 1	Bt98 1	
57	Bt8 1	Bt51 1	
58	Bt22 1	Bt66 1	Bt92 1	
59	Bt67 1	Bt71 2	Bt98 1	
60	Bt6 1	Bt54 1	
