Nr	Name					No_of_Customers		No_of_Items		Time_Windows
1	1_TruckTrailer_n30_m200_bt10_1		30			200			0
2	2_TruckTrailer_n30_m200_bt10_2		30			200			0
3	3_TruckTrailer_n30_m200_bt10_3		30			200			0
4	4_TruckTrailer_n30_m200_bt10_4		30			200			0
5	5_TruckTrailer_n30_m200_bt10_5		30			200			0
6	6_TruckTrailer_n30_m200_bt100_1		30			200			0
7	7_TruckTrailer_n30_m200_bt100_2		30			200			0
8	8_TruckTrailer_n30_m200_bt100_3		30			200			0
9	9_TruckTrailer_n30_m200_bt100_4		30			200			0
10	10_TruckTrailer_n30_m200_bt100_5	30			200			0
11	11_TruckTrailer_n30_m400_bt10_1		30			400			0
12	12_TruckTrailer_n30_m400_bt10_2		30			400			0
13	13_TruckTrailer_n30_m400_bt10_3		30			400			0
14	14_TruckTrailer_n30_m400_bt10_4		30			400			0
15	15_TruckTrailer_n30_m400_bt10_5		30			400			0
16	16_TruckTrailer_n30_m400_bt100_1	30			400			0
17	17_TruckTrailer_n30_m400_bt100_2	30			400			0
18	18_TruckTrailer_n30_m400_bt100_3	30			400			0
19	19_TruckTrailer_n30_m400_bt100_4	30			400			0
20	20_TruckTrailer_n30_m400_bt100_5	30			400			0
21	21_TruckTrailer_n60_m200_bt10_1		60			200			0
22	22_TruckTrailer_n60_m200_bt10_2		60			200			0
23	23_TruckTrailer_n60_m200_bt10_3		60			200			0
24	24_TruckTrailer_n60_m200_bt10_4		60			200			0
25	25_TruckTrailer_n60_m200_bt10_5		60			200			0
26	26_TruckTrailer_n60_m200_bt100_1	60			200			0
27	27_TruckTrailer_n60_m200_bt100_2	60			200			0
28	28_TruckTrailer_n60_m200_bt100_3	60			200			0
29	29_TruckTrailer_n60_m200_bt100_4	60			200			0
30	30_TruckTrailer_n60_m200_bt100_5	60			200			0
31	31_TruckTrailer_n60_m400_bt10_1		60			400			0
32	32_TruckTrailer_n60_m400_bt10_2		60			400			0
33	33_TruckTrailer_n60_m400_bt10_3		60			400			0
34	34_TruckTrailer_n60_m400_bt10_4		60			400			0
35	35_TruckTrailer_n60_m400_bt10_5		60			400			0
36	36_TruckTrailer_n60_m400_bt100_1	60			400			0
37	37_TruckTrailer_n60_m400_bt100_2	60			400			0
38	38_TruckTrailer_n60_m400_bt100_3	60			400			0
39	39_TruckTrailer_n60_m400_bt100_4	60			400			0
40	40_TruckTrailer_n60_m400_bt100_5	60			400			0
41	41_TruckTrailer_n90_m200_bt10_1		90			200			0
42	42_TruckTrailer_n90_m200_bt10_2		90			200			0
43	43_TruckTrailer_n90_m200_bt10_3		90			200			0
44	44_TruckTrailer_n90_m200_bt10_4		90			200			0
45	45_TruckTrailer_n90_m200_bt10_5		90			200			0
46	46_TruckTrailer_n90_m200_bt100_1	90			200			0
47	47_TruckTrailer_n90_m200_bt100_2	90			200			0
48	48_TruckTrailer_n90_m200_bt100_3	90			200			0
49	49_TruckTrailer_n90_m200_bt100_4	90			200			0
50	50_TruckTrailer_n90_m200_bt100_5	90			200			0
51	51_TruckTrailer_n90_m400_bt10_1		90			400			0
52	52_TruckTrailer_n90_m400_bt10_2		90			400			0
53	53_TruckTrailer_n90_m400_bt10_3		90			400			0
54	54_TruckTrailer_n90_m400_bt10_4		90			400			0
55	55_TruckTrailer_n90_m400_bt10_5		90			400			0
56	56_TruckTrailer_n90_m400_bt100_1	90			400			0
57	57_TruckTrailer_n90_m400_bt100_2	90			400			0
58	58_TruckTrailer_n90_m400_bt100_3	90			400			0
59	59_TruckTrailer_n90_m400_bt100_4	90			400			0
60	60_TruckTrailer_n90_m400_bt100_5	90			400			0
61	61_TruckTrailer_n120_m200_bt10_1	120			200			0
62	62_TruckTrailer_n120_m200_bt10_2	120			200			0
63	63_TruckTrailer_n120_m200_bt10_3	120			200			0
64	64_TruckTrailer_n120_m200_bt10_4	120			200			0
65	65_TruckTrailer_n120_m200_bt10_5	120			200			0
66	66_TruckTrailer_n120_m200_bt100_1	120			200			0
67	67_TruckTrailer_n120_m200_bt100_2	120			200			0
68	68_TruckTrailer_n120_m200_bt100_3	120			200			0
69	69_TruckTrailer_n120_m200_bt100_4	120			200			0
70	70_TruckTrailer_n120_m200_bt100_5	120			200			0
71	71_TruckTrailer_n120_m400_bt10_1	120			400			0
72	72_TruckTrailer_n120_m400_bt10_2	120			400			0
73	73_TruckTrailer_n120_m400_bt10_3	120			400			0
74	74_TruckTrailer_n120_m400_bt10_4	120			400			0
75	75_TruckTrailer_n120_m400_bt10_5	120			400			0
76	76_TruckTrailer_n120_m400_bt100_1	120			400			0
77	77_TruckTrailer_n120_m400_bt100_2	120			400			0
78	78_TruckTrailer_n120_m400_bt100_3	120			400			0
79	79_TruckTrailer_n120_m400_bt100_4	120			400			0
80	80_TruckTrailer_n120_m400_bt100_5	120			400			0
