Name					62_TruckTrailer_n120_m200_bt10_2
Number_of_Customers			120
Number_of_Items				200
Number_of_ItemTypes			10
Number_of_Vehicles			5
TimeWindows				0

VEHICLE
Mass_Capacity				25950
CargoSpace_Length			136
CargoSpace_Width			25
CargoSpace_Height			30
Wheelbase				36
Max_Mass_FrontAxle			10000
Max_Mass_RearAxle			11500
Max_Mass_TrailerAxle			24000
Distance_Kingpin_RearAxle		6
Distance_Kingpin_TrailerAxle		76
Distance_CargoSpace_TrailerAxle		92
Distance_Mass_Tractor_RearAxle		25
Distance_Mass_Trailer_TrailerAxle	16
Mass_Tractor				7300
Mass_Trailer				6750

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		0		0		0		0
1		64		17		3		0		0		0		345.694		2798
2		53		39		1		0		0		0		168.568		1596
3		50		50		2		0		0		0		810.968		3798
4		55		50		1		0		0		0		115.434		840
5		63		62		1		0		0		0		74.3622		432
6		59		47		2		0		0		0		271.332		2366
7		22		48		2		0		0		0		503.273		3900
8		29		13		2		0		0		0		806.518		3432
9		11		18		2		0		0		0		181.18		784
10		3		16		1		0		0		0		168.568		1596
11		28		15		1		0		0		0		168.568		1596
12		17		62		1		0		0		0		98.0039		660
13		70		54		2		0		0		0		205.528		1540
14		70		28		1		0		0		0		98.0039		660
15		3		44		1		0		0		0		98.0039		660
16		8		5		1		0		0		0		90.5898		392
17		19		8		1		0		0		0		168.568		1596
18		6		37		1		0		0		0		102.764		770
19		20		9		3		0		0		0		476.408		2072
20		38		11		1		0		0		0		74.3622		432
21		2		7		3		0		0		0		758.67		4538
22		31		19		1		0		0		0		90.5898		392
23		19		7		1		0		0		0		115.434		840
24		9		13		1		0		0		0		168.568		1596
25		53		7		2		0		0		0		663.63		3780
26		52		0		2		0		0		0		189.796		1272
27		60		36		3		0		0		0		358.364		2868
28		10		8		1		0		0		0		499.512		2550
29		49		67		1		0		0		0		495.062		2184
30		17		22		3		0		0		0		791.481		4092
31		12		35		1		0		0		0		90.5898		392
32		23		54		3		0		0		0		357.162		2648
33		44		43		2		0		0		0		188.594		1052
34		33		3		2		0		0		0		409.46		1908
35		48		60		3		0		0		0		683.656		3236
36		58		24		3		0		0		0		754.22		4172
37		12		59		3		0		0		0		530.713		3624
38		15		24		1		0		0		0		334.705		2304
39		3		47		1		0		0		0		495.062		2184
40		62		51		1		0		0		0		334.705		2304
41		30		43		1		0		0		0		495.062		2184
42		50		1		1		0		0		0		102.764		770
43		5		36		1		0		0		0		115.434		840
44		45		55		2		0		0		0		990.124		4368
45		58		22		1		0		0		0		499.512		2550
46		10		70		1		0		0		0		168.568		1596
47		30		44		1		0		0		0		90.5898		392
48		27		21		2		0		0		0		585.652		2576
49		34		30		1		0		0		0		74.3622		432
50		21		56		1		0		0		0		102.764		770
51		57		56		2		0		0		0		450.139		3144
52		19		46		1		0		0		0		495.062		2184
53		44		62		2		0		0		0		597.516		3210
54		7		13		2		0		0		0		602.276		3320
55		3		2		3		0		0		0		1168.92		7158
56		10		1		3		0		0		0		688.416		3346
57		58		26		1		0		0		0		311.456		1248
58		36		70		1		0		0		0		115.434		840
59		27		51		1		0		0		0		98.0039		660
60		10		60		2		0		0		0		218.198		1610
61		64		15		1		0		0		0		499.512		2550
62		66		51		1		0		0		0		311.456		1248
63		44		32		3		0		0		0		671.841		5496
64		6		33		3		0		0		0		932.221		5514
65		50		5		1		0		0		0		311.456		1248
66		39		7		2		0		0		0		266.572		2256
67		34		9		2		0		0		0		614.946		3390
68		48		35		1		0		0		0		495.062		2184
69		27		70		4		0		0		0		1196.15		5600
70		45		4		1		0		0		0		74.3622		432
71		67		43		1		0		0		0		168.568		1596
72		48		7		3		0		0		0		908.579		5286
73		9		11		1		0		0		0		115.434		840
74		17		48		2		0		0		0		646.161		3552
75		47		58		1		0		0		0		499.512		2550
76		22		44		2		0		0		0		432.709		2964
77		6		15		2		0		0		0		663.63		3780
78		12		32		2		0		0		0		271.332		2366
79		52		15		5		0		0		0		937.519		5374
80		56		30		1		0		0		0		495.062		2184
81		16		56		2		0		0		0		432.709		2964
82		48		49		3		0		0		0		511.831		3506
83		38		24		1		0		0		0		115.434		840
84		57		20		3		0		0		0		552.903		3914
85		48		27		3		0		0		0		540.233		3844
86		61		63		1		0		0		0		334.705		2304
87		13		19		1		0		0		0		74.3622		432
88		6		70		1		0		0		0		311.456		1248
89		42		12		1		0		0		0		102.764		770
90		46		18		2		0		0		0		218.198		1610
