Name					70_TruckTrailer_n120_m200_bt100_5
Number_of_Customers			120
Number_of_Items				200
Number_of_ItemTypes			100
Number_of_Vehicles			6
TimeWindows				0

VEHICLE
Mass_Capacity				25950
CargoSpace_Length			136
CargoSpace_Width			25
CargoSpace_Height			30
Wheelbase				36
Max_Mass_FrontAxle			10000
Max_Mass_RearAxle			11500
Max_Mass_TrailerAxle			24000
Distance_Kingpin_RearAxle		6
Distance_Kingpin_TrailerAxle		76
Distance_CargoSpace_TrailerAxle		92
Distance_Mass_Tractor_RearAxle		25
Distance_Mass_Trailer_TrailerAxle	16
Mass_Tractor				7300
Mass_Trailer				6750

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		0		0		0		0
1		1		67		1		0		0		0		319.631		1512
2		64		40		1		0		0		0		149.154		1440
3		18		43		1		0		0		0		91.5018		384
4		68		17		1		0		0		0		219.905		1134
5		33		51		4		0		0		0		1317.22		6730
6		4		26		1		0		0		0		407.983		1650
7		59		31		2		0		0		0		653.985		3384
8		29		65		2		0		0		0		363.201		2366
9		2		34		1		0		0		0		129.874		819
10		30		61		2		0		0		0		657.226		3768
11		38		31		1		0		0		0		319.631		1512
12		10		41		2		0		0		0		532.425		2282
13		19		41		2		0		0		0		610.039		3677
14		39		20		1		0		0		0		329.957		1386
15		2		64		1		0		0		0		204.082		1680
16		1		51		2		0		0		0		687.447		4260
17		39		33		1		0		0		0		457.502		2772
18		53		53		4		0		0		0		761.455		4944
19		58		40		1		0		0		0		289.699		1368
20		22		9		2		0		0		0		649.315		3720
21		68		48		1		0		0		0		169.857		800
22		61		16		2		0		0		0		308.853		2520
23		66		15		1		0		0		0		444.561		1872
24		61		47		2		0		0		0		273.635		2142
25		25		53		2		0		0		0		392.212		2068
26		50		57		1		0		0		0		319.631		1512
27		8		51		2		0		0		0		1024.84		4356
28		27		7		1		0		0		0		178.673		720
29		15		58		2		0		0		0		1114.14		4644
30		11		45		1		0		0		0		468.57		2904
31		43		18		1		0		0		0		397.105		1656
32		69		51		1		0		0		0		184.986		1188
33		21		9		4		0		0		0		1106.52		7714
34		28		2		1		0		0		0		38.2829		288
35		48		70		1		0		0		0		289.699		1368
36		24		59		1		0		0		0		249.803		1188
37		57		14		2		0		0		0		341.019		1608
38		49		9		1		0		0		0		42.5564		336
39		28		46		2		0		0		0		194.132		1232
40		26		41		2		0		0		0		383.89		3374
41		35		3		2		0		0		0		319.369		2030
42		47		41		1		0		0		0		99.4646		896
43		4		22		1		0		0		0		241.955		1638
44		0		45		3		0		0		0		1136.53		6228
45		1		14		3		0		0		0		433.975		2749
46		34		44		1		0		0		0		129.874		819
47		32		19		1		0		0		0		466.291		1872
48		67		33		1		0		0		0		101.274		800
49		59		9		1		0		0		0		287.361		2100
50		5		12		2		0		0		0		350.388		2200
51		18		59		2		0		0		0		552.285		2457
52		17		2		2		0		0		0		448.501		2088
53		69		40		1		0		0		0		144.69		768
