Name					72_TruckTrailer_n120_m400_bt10_2
Number_of_Customers			120
Number_of_Items				400
Number_of_ItemTypes			10
Number_of_Vehicles			12
TimeWindows				0

VEHICLE
Mass_Capacity				25950
CargoSpace_Length			136
CargoSpace_Width			25
CargoSpace_Height			30
Wheelbase				36
Max_Mass_FrontAxle			10000
Max_Mass_RearAxle			11500
Max_Mass_TrailerAxle			24000
Distance_Kingpin_RearAxle		6
Distance_Kingpin_TrailerAxle		76
Distance_CargoSpace_TrailerAxle		92
Distance_Mass_Tractor_RearAxle		25
Distance_Mass_Trailer_TrailerAxle	16
Mass_Tractor				7300
Mass_Trailer				6750

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		0		0		0		0
1		46		32		6		0		0		0		2029.32		15564
2		56		6		2		0		0		0		646.373		2736
3		51		14		2		0		0		0		610.493		2739
4		42		7		3		0		0		0		631.672		3366
5		55		36		3		0		0		0		897.666		4362
6		43		64		4		0		0		0		1072.93		6456
7		59		35		3		0		0		0		598.367		2958
8		1		22		1		0		0		0		207.542		1254
9		20		6		3		0		0		0		779.266		3351
10		54		30		4		0		0		0		1122.53		6453
11		55		49		4		0		0		0		826.298		4200
12		5		5		2		0		0		0		325.291		1539
13		41		6		2		0		0		0		883.16		5715
14		3		38		4		0		0		0		1002.53		6189
15		67		36		3		0		0		0		799.362		3837
16		51		19		5		0		0		0		1137.04		5100
17		10		11		3		0		0		0		645.769		3570
18		57		42		3		0		0		0		732.489		3396
19		17		37		2		0		0		0		480.022		2541
20		8		18		2		0		0		0		545.556		2706
21		13		29		2		0		0		0		495.74		4125
22		50		30		5		0		0		0		943.54		6399
23		66		12		5		0		0		0		1973.86		12684
24		28		11		4		0		0		0		1410.04		8265
25		68		37		2		0		0		0		747.637		4917
26		10		31		2		0		0		0		526.882		2550
27		44		69		2		0		0		0		405.456		1956
28		14		50		2		0		0		0		240.258		1020
29		68		69		6		0		0		0		1788.49		9597
30		61		50		4		0		0		0		1343.09		7770
31		58		24		1		0		0		0		319.34		1296
32		44		12		2		0		0		0		617.166		4719
33		38		66		4		0		0		0		1371.2		6612
34		7		37		5		0		0		0		891.429		4740
35		49		16		2		0		0		0		638.68		2592
36		54		9		4		0		0		0		1018.52		4284
37		31		27		3		0		0		0		998.997		4470
38		4		37		4		0		0		0		1529.53		8451
39		34		70		5		0		0		0		1092.49		5703
40		52		3		2		0		0		0		811.55		3702
41		38		46		5		0		0		0		1480.13		8313
42		63		64		4		0		0		0		901.775		4086
43		32		50		3		0		0		0		696.609		3399
44		17		43		5		0		0		0		1792.65		11106
45		31		11		4		0		0		0		987.895		5937
46		66		50		5		0		0		0		1317.37		5871
47		59		16		3		0		0		0		800.448		5169
48		35		48		2		0		0		0		597.07		4233
49		27		59		3		0		0		0		933.463		4305
50		38		7		5		0		0		0		1235.62		5220
51		17		68		6		0		0		0		1983.38		8658
52		19		3		1		0		0		0		327.033		1440
53		61		33		4		0		0		0		1337.84		6120
54		35		14		3		0		0		0		722.021		3462
55		49		67		1		0		0		0		473.536		2250
56		52		9		3		0		0		0		1090.7		6969
57		14		18		4		0		0		0		1383.03		7641
58		18		17		3		0		0		0		973.405		4176
59		37		23		4		0		0		0		1117.28		4803
60		4		40		5		0		0		0		1333.4		6483
61		5		37		2		0		0		0		358.596		1947
62		39		18		3		0		0		0		779.266		3351
63		11		18		8		0		0		0		1873.44		8361
64		43		13		3		0		0		0		722.021		3462
65		2		63		2		0		0		0		172.232		1320
66		57		63		3		0		0		0		644.631		2835
67		23		10		4		0		0		0		803.974		3804
68		37		43		4		0		0		0		1318.34		5766
69		5		22		4		0		0		0		1319.22		6048
70		30		2		1		0		0		0		409.624		3465
71		37		2		3		0		0		0		1066.98		6213
