Name					19_TruckTrailer_n30_m400_bt100_4
Number_of_Customers			30
Number_of_Items				400
Number_of_ItemTypes			100
Number_of_Vehicles			11
TimeWindows				0

VEHICLE
Mass_Capacity				25950
CargoSpace_Length			136
CargoSpace_Width			25
CargoSpace_Height			30
Wheelbase				36
Max_Mass_FrontAxle			10000
Max_Mass_RearAxle			11500
Max_Mass_TrailerAxle			24000
Distance_Kingpin_RearAxle		6
Distance_Kingpin_TrailerAxle		76
Distance_CargoSpace_TrailerAxle		92
Distance_Mass_Tractor_RearAxle		25
Distance_Mass_Trailer_TrailerAxle	16
Mass_Tractor				7300
Mass_Trailer				6750

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		0		0		0		0
1		45		7		19		0		0		0		2347.04		17154
2		62		46		9		0		0		0		1796.17		10305
3		48		44		15		0		0		0		3218.01		18020
4		14		69		9		0		0		0		2705.67		14472
5		29		40		9		0		0		0		1923.2		12346
6		22		53		14		0		0		0		3754.04		19775
7		32		49		16		0		0		0		3081.47		19594
8		69		57		19		0		0		0		4172.38		21013
9		43		1		12		0		0		0		2370.99		12968
10		44		67		8		0		0		0		2296.79		12410
11		50		2		12		0		0		0		1890.9		12524
12		28		67		11		0		0		0		2838.3		16305
13		30		46		15		0		0		0		3709.19		18583
14		15		46		10		0		0		0		2738.92		14205
15		16		23		11		0		0		0		2063.22		13199
16		11		21		15		0		0		0		3135.65		18148
17		48		38		12		0		0		0		4044.89		23186
18		10		2		15		0		0		0		2925.14		16875
19		44		0		13		0		0		0		4443.18		23801
20		27		38		17		0		0		0		4198.39		24105
21		8		52		13		0		0		0		2791.94		19847
22		26		56		16		0		0		0		3509.6		23306
23		37		43		14		0		0		0		3212.27		18699
24		29		26		15		0		0		0		3059.48		17998
25		55		13		15		0		0		0		3684.42		20801
26		34		10		17		0		0		0		3373.42		20209
27		45		67		11		0		0		0		2443.38		12776
28		37		51		14		0		0		0		2999.75		16943
29		14		65		11		0		0		0		2310.69		12932
30		62		29		13		0		0		0		2828.51		15088

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		9		10		13		186.92		0		10.3846273
Bt2		7		11		9		169.58		0		11.0119348
Bt3		14		9		8		221.13		0		8.7748218
Bt4		25		11		9		315.97		0		5.7448481
Bt5		10		12		11		229.49		0		9.5619636
Bt6		23		6		13		232.87		1		1.6874318
Bt7		7		7		8		69.63		0		7.1050158
Bt8		22		11		11		636.95		0		13.1601168
Bt9		22		8		7		160.56		0		4.5613094
Bt10		6		6		8		47.86		0		6.6474554
Bt11		16		8		12		220.87		0		8.6277315
Bt12		9		6		8		55.10		0		5.1017477
Bt13		16		12		7		158.42		0		4.1254050
Bt14		25		10		15		384.01		1		1.5360346
Bt15		24		11		9		529.34		0		10.0253946
Bt16		16		7		8		186.74		0		8.3366717
Bt17		6		11		8		113.74		0		8.6166792
Bt18		18		10		8		328.56		0		9.1266252
Bt19		15		11		14		430.68		0		13.0508509
Bt20		6		6		7		39.70		0		5.5139314
Bt21		19		6		7		154.63		0		6.7821466
Bt22		20		10		10		280.57		0		7.0141859
Bt23		11		11		8		236.07		1		1.9509657
Bt24		8		11		13		259.90		0		14.7668463
Bt25		6		10		9		63.82		0		5.3184952
Bt26		24		7		14		305.77		0		9.1004329
Bt27		9		8		13		170.92		0		11.8692491
Bt28		22		7		8		168.34		0		5.4654893
Bt29		13		12		11		221.49		0		7.0989486
Bt30		6		8		8		71.48		0		7.4459264
Bt31		7		9		15		104.44		1		1.6578465
Bt32		16		12		15		546.81		0		14.2398217
Bt33		21		12		9		461.93		0		9.1653360
Bt34		10		8		6		76.89		0		4.8054674
Bt35		21		12		9		366.69		0		7.2755441
Bt36		8		6		14		76.02		0		7.9191402
Bt37		9		8		11		124.94		0		8.6766181
Bt38		15		11		9		150.18		0		4.5510014
Bt39		7		10		11		137.58		0		9.8269881
Bt40		7		7		8		97.09		0		9.9068084
Bt41		20		8		12		398.23		0		12.4446985
Bt42		14		7		14		192.24		0		9.8082859
Bt43		20		8		10		241.27		0		7.5395317
Bt44		22		8		12		336.15		0		9.5496302
Bt45		24		11		9		576.37		0		10.9161586
Bt46		22		6		13		414.21		0		15.6899411
Bt47		17		7		6		137.03		0		5.7574163
Bt48		22		9		10		459.55		1		2.3209744
Bt49		21		11		12		643.18		0		13.9215423
Bt50		8		8		7		101.14		1		1.5802349
Bt51		8		12		10		215.08		0		11.2021494
Bt52		23		11		12		438.26		0		8.6612149
Bt53		23		7		8		148.86		0		4.6229759
Bt54		20		8		10		169.28		0		5.2900295
Bt55		21		10		8		238.67		1		1.1365348
Bt56		21		6		7		155.59		0		6.1742786
Bt57		14		8		7		92.94		0		4.1489507
Bt58		22		6		13		268.28		0		10.1622931
Bt59		8		12		13		199.99		0		10.4162454
Bt60		7		7		6		56.16		0		5.7301388
Bt61		10		9		11		233.54		0		12.9744870
Bt62		19		8		15		343.16		1		2.2576085
Bt63		13		6		11		126.83		0		8.1298332
Bt64		6		10		10		101.56		1		1.6926253
Bt65		12		12		13		279.35		0		9.6997563
Bt66		15		8		8		147.06		0		6.1274972
Bt67		8		9		14		173.50		0		12.0484223
Bt68		23		10		13		515.65		0		11.2098374
Bt69		18		6		6		161.24		0		7.4647985
Bt70		7		6		7		64.14		0		7.6357902
Bt71		20		12		11		561.92		0		11.7066348
Bt72		24		11		6		353.80		0		6.7007766
Bt73		15		6		9		126.53		0		7.0292898
Bt74		25		7		7		264.42		0		7.5548274
Bt75		11		7		8		140.43		0		9.1189187
Bt76		8		10		8		141.14		0		8.8210239
Bt77		15		9		13		327.00		0		12.1110240
Bt78		19		7		10		277.06		0		10.4159261
Bt79		24		11		7		265.48		0		5.0279472
Bt80		6		6		6		30.13		0		4.1850108
Bt81		17		8		11		203.00		0		7.4632023
Bt82		16		8		15		349.41		0		13.6486751
Bt83		24		12		8		315.49		0		5.4771952
Bt84		17		9		11		363.51		0		11.8792649
Bt85		14		8		6		161.11		0		7.1924809
Bt86		12		11		9		132.32		0		5.0121762
Bt87		13		12		11		199.71		1		1.2802107
Bt88		16		12		12		510.89		0		13.3044188
Bt89		21		7		8		257.20		0		8.7484099
Bt90		7		6		6		51.69		0		6.1535930
Bt91		14		8		14		361.58		0		16.1419613
Bt92		10		6		9		104.90		1		1.7482750
Bt93		24		8		9		252.51		0		6.5757340
