	Name			No_of_Customers		No_of_Items		TimeWindows
1	GI_I1_01		25			1050			1
2	GI_I1_02		25			1050			1
3	GI_I1_03		25			1050			1
4	GI_I1_04		25			1050			1
5	GI_I1_05		25			1050			1
6	GI_I1_06		25			1050			1
7	GI_I1_07		25			1050			1
8	GI_I1_08		25			1050			1
9	GI_I1_09		25			1050			1
10	GI_I1_10		25			1050			1
11	GI_I1_11		25			1050			1
12	GI_I1_12		25			1050			1
13	GI_I2_01		25			1050			1
14	GI_I2_02		25			1050			1
15	GI_I2_03		25			1050			1
16	GI_I2_04		25			1050			1
17	GI_I2_05		25			1050			1
18	GI_I2_06		25			1050			1
19	GI_I2_07		25			1050			1
20	GI_I2_08		25			1050			1
21	GI_I2_09		25			1050			1
22	GI_I2_10		25			1050			1
23	GI_I2_11		25			1050			1
24	GII_I1_01		25			1550			1
25	GII_I1_02		25			1550			1
26	GII_I1_03		25			1550			1
27	GII_I1_04		25			1550			1
28	GII_I1_05		25			1550			1
29	GII_I1_06		25			1550			1
30	GII_I1_07		25			1550			1
31	GII_I1_08		25			1550			1
32	GII_I1_09		25			1550			1
33	GII_I1_10		25			1550			1
34	GII_I1_11		25			1550			1
35	GII_I1_12		25			1550			1
36	GII_I2_01		25			1550			1
37	GII_I2_02		25			1550			1
38	GII_I2_03		25			1550			1
39	GII_I2_04		25			1550			1
40	GII_I2_05		25			1550			1
41	GII_I2_06		25			1550			1
42	GII_I2_07		25			1550			1
43	GII_I2_08		25			1550			1
44	GII_I2_09		25			1550			1
45	GII_I2_10		25			1550			1
46	GII_I2_11		25			1550			1
