Nr	Name			No_of_Customers		No_of_Items		Time_Windows
1	3l_cvrp01		15			32			0
2	3l_cvrp02		15			26			0
3	3l_cvrp03		20			37			0
4	3l_cvrp04		20			36			0
5	3l_cvrp05		21			45			0
6	3l_cvrp06		21			40			0
7	3l_cvrp07		22			46			0
8	3l_cvrp08		22			43			0
9	3l_cvrp09		25			50			0
10	3l_cvrp10		29			62			0
11	3l_cvrp11		29			58			0
12	3l_cvrp12		30			63			0
13	3l_cvrp13		32			61			0
14	3l_cvrp14		32			72			0
15	3l_cvrp15		32			68			0
16	3l_cvrp16		35			63			0
17	3l_cvrp17		40			79			0
18	3l_cvrp18		44			94			0
19	3l_cvrp19		50			99			0
20	3l_cvrp20		71			147			0
21	3l_cvrp21		75			155			0
22	3l_cvrp22		75			146			0
23	3l_cvrp23		75			150			0
24	3l_cvrp24		75			143			0
25	3l_cvrp25		100			193			0
26	3l_cvrp26		100			199			0
27	3l_cvrp27		100			198			0
